"Step","lyric-serenity-11 - epoch_time","lyric-serenity-11 - epoch_time__MIN","lyric-serenity-11 - epoch_time__MAX","generous-sound-8 - epoch_time","generous-sound-8 - epoch_time__MIN","generous-sound-8 - epoch_time__MAX","serene-cloud-7 - epoch_time","serene-cloud-7 - epoch_time__MIN","serene-cloud-7 - epoch_time__MAX","hearty-universe-6 - epoch_time","hearty-universe-6 - epoch_time__MIN","hearty-universe-6 - epoch_time__MAX","hopeful-sun-5 - epoch_time","hopeful-sun-5 - epoch_time__MIN","hopeful-sun-5 - epoch_time__MAX","generous-cherry-4 - epoch_time","generous-cherry-4 - epoch_time__MIN","generous-cherry-4 - epoch_time__MAX"
"0","307.08659052848816","307.08659052848816","307.08659052848816","314.26107001304626","314.26107001304626","314.26107001304626","1828.5137305259705","1828.5137305259705","1828.5137305259705","401.6795496940613","401.6795496940613","401.6795496940613","329.7964515686035","329.7964515686035","329.7964515686035","311.4353070259094","311.4353070259094","311.4353070259094"
"1","300.4171266555786","300.4171266555786","300.4171266555786","317.12365317344666","317.12365317344666","317.12365317344666","536.7174484729767","536.7174484729767","536.7174484729767","387.85383343696594","387.85383343696594","387.85383343696594","313.32347106933594","313.32347106933594","313.32347106933594","314.4941885471344","314.4941885471344","314.4941885471344"
"2","298.2018039226532","298.2018039226532","298.2018039226532","301.0320234298706","301.0320234298706","301.0320234298706","306.1323184967041","306.1323184967041","306.1323184967041","337.2723832130432","337.2723832130432","337.2723832130432","305.67231488227844","305.67231488227844","305.67231488227844","300.3409266471863","300.3409266471863","300.3409266471863"
"3","300.1001486778259","300.1001486778259","300.1001486778259","305.1402678489685","305.1402678489685","305.1402678489685","307.01182222366333","307.01182222366333","307.01182222366333","591.558324098587","591.558324098587","591.558324098587","308.15731287002563","308.15731287002563","308.15731287002563","300.6214339733124","300.6214339733124","300.6214339733124"
"4","305.5871241092682","305.5871241092682","305.5871241092682","303.06439566612244","303.06439566612244","303.06439566612244","325.54650020599365","325.54650020599365","325.54650020599365","369.90681171417236","369.90681171417236","369.90681171417236","306.57641673088074","306.57641673088074","306.57641673088074","300.207266330719","300.207266330719","300.207266330719"
"5","292.8194086551666","292.8194086551666","292.8194086551666","304.84745168685913","304.84745168685913","304.84745168685913","311.3801989555359","311.3801989555359","311.3801989555359","382.8159101009369","382.8159101009369","382.8159101009369","340.5102491378784","340.5102491378784","340.5102491378784","307.57575845718384","307.57575845718384","307.57575845718384"
"6","293.30329966545105","293.30329966545105","293.30329966545105","306.9501976966858","306.9501976966858","306.9501976966858","305.86066031455994","305.86066031455994","305.86066031455994","375.599641084671","375.599641084671","375.599641084671","334.22199845314026","334.22199845314026","334.22199845314026","305.5634922981262","305.5634922981262","305.5634922981262"
"7","301.0554127693176","301.0554127693176","301.0554127693176","303.36070919036865","303.36070919036865","303.36070919036865","292.7154018878937","292.7154018878937","292.7154018878937","336.15210461616516","336.15210461616516","336.15210461616516","309.71233344078064","309.71233344078064","309.71233344078064","302.5612668991089","302.5612668991089","302.5612668991089"
"8","302.04089999198914","302.04089999198914","302.04089999198914","309.05778312683105","309.05778312683105","309.05778312683105","309.0162377357483","309.0162377357483","309.0162377357483","388.2706949710846","388.2706949710846","388.2706949710846","307.39419651031494","307.39419651031494","307.39419651031494","302.61667108535767","302.61667108535767","302.61667108535767"
"9","295.47427892684937","295.47427892684937","295.47427892684937","319.60444021224976","319.60444021224976","319.60444021224976","310.46721625328064","310.46721625328064","310.46721625328064","365.54217743873596","365.54217743873596","365.54217743873596","313.038378238678","313.038378238678","313.038378238678","319.7379274368286","319.7379274368286","319.7379274368286"
"10","302.788302898407","302.788302898407","302.788302898407","302.33393478393555","302.33393478393555","302.33393478393555","303.15050315856934","303.15050315856934","303.15050315856934","","","","304.5782940387726","304.5782940387726","304.5782940387726","306.38584446907043","306.38584446907043","306.38584446907043"
"11","314.01025223731995","314.01025223731995","314.01025223731995","319.9000566005707","319.9000566005707","319.9000566005707","310.8158564567566","310.8158564567566","310.8158564567566","","","","311.65078353881836","311.65078353881836","311.65078353881836","305.67197465896606","305.67197465896606","305.67197465896606"
"12","304.809636592865","304.809636592865","304.809636592865","314.81658363342285","314.81658363342285","314.81658363342285","306.34561347961426","306.34561347961426","306.34561347961426","","","","304.2425727844238","304.2425727844238","304.2425727844238","299.65149188041687","299.65149188041687","299.65149188041687"
"13","303.31358885765076","303.31358885765076","303.31358885765076","313.7578251361847","313.7578251361847","313.7578251361847","298.42636227607727","298.42636227607727","298.42636227607727","","","","297.83221650123596","297.83221650123596","297.83221650123596","319.21998929977417","319.21998929977417","319.21998929977417"
