"Step","lyric-serenity-11 - epoch","lyric-serenity-11 - epoch__MIN","lyric-serenity-11 - epoch__MAX","generous-sound-8 - epoch","generous-sound-8 - epoch__MIN","generous-sound-8 - epoch__MAX","serene-cloud-7 - epoch","serene-cloud-7 - epoch__MIN","serene-cloud-7 - epoch__MAX","hearty-universe-6 - epoch","hearty-universe-6 - epoch__MIN","hearty-universe-6 - epoch__MAX","hopeful-sun-5 - epoch","hopeful-sun-5 - epoch__MIN","hopeful-sun-5 - epoch__MAX","generous-cherry-4 - epoch","generous-cherry-4 - epoch__MIN","generous-cherry-4 - epoch__MAX"
"0","146","146","146","146","146","146","121","121","121","111","111","111","81","81","81","51","51","51"
"1","147","147","147","147","147","147","122","122","122","112","112","112","82","82","82","52","52","52"
"2","148","148","148","148","148","148","123","123","123","113","113","113","83","83","83","53","53","53"
"3","149","149","149","149","149","149","124","124","124","114","114","114","84","84","84","54","54","54"
"4","150","150","150","150","150","150","125","125","125","115","115","115","85","85","85","55","55","55"
"5","151","151","151","151","151","151","126","126","126","116","116","116","86","86","86","56","56","56"
"6","152","152","152","152","152","152","127","127","127","117","117","117","87","87","87","57","57","57"
"7","153","153","153","153","153","153","128","128","128","118","118","118","88","88","88","58","58","58"
"8","154","154","154","154","154","154","129","129","129","119","119","119","89","89","89","59","59","59"
"9","155","155","155","155","155","155","130","130","130","120","120","120","90","90","90","60","60","60"
"10","156","156","156","156","156","156","131","131","131","","","","91","91","91","61","61","61"
"11","157","157","157","157","157","157","132","132","132","","","","92","92","92","62","62","62"
"12","158","158","158","158","158","158","133","133","133","","","","93","93","93","63","63","63"
"13","159","159","159","159","159","159","134","134","134","","","","94","94","94","64","64","64"
"14","160","160","160","160","160","160","135","135","135","","","","95","95","95","65","65","65"
"15","161","161","161","161","161","161","136","136","136","","","","96","96","96","66","66","66"
"16","162","162","162","162","162","162","137","137","137","","","","97","97","97","67","67","67"
"17","163","163","163","163","163","163","138","138","138","","","","98","98","98","68","68","68"
"18","164","164","164","164","164","164","139","139","139","","","","99","99","99","69","69","69"
"19","165","165","165","165","165","165","140","140","140","","","","100","100","100","70","70","70"
"20","166","166","166","166","166","166","141","141","141","","","","101","101","101","71","71","71"
"21","167","167","167","167","167","167","142","142","142","","","","102","102","102","72","72","72"
"22","168","168","168","168","168","168","143","143","143","","","","103","103","103","73","73","73"
"23","169","169","169","169","169","169","144","144","144","","","","104","104","104","74","74","74"
"24","170","170","170","170","170","170","145","145","145","","","","105","105","105","75","75","75"
"25","171","171","171","171","171","171","146","146","146","","","","106","106","106","76","76","76"
"26","172","172","172","172","172","172","","","","","","","107","107","107","77","77","77"
"27","173","173","173","173","173","173","","","","","","","108","108","108","78","78","78"
"28","174","174","174","174","174","174","","","","","","","109","109","109","79","79","79"
"29","175","175","175","175","175","175","","","","","","","110","110","110","80","80","80"
"30","176","176","176","176","176","176","","","","","","","111","111","111","81","81","81"
"31","177","177","177","177","177","177","","","","","","","112","112","112","82","82","82"
"32","178","178","178","178","178","178","","","","","","","113","113","113","83","83","83"
"33","179","179","179","179","179","179","","","","","","","114","114","114","","",""
