"Step","lyric-serenity-11 - loss","lyric-serenity-11 - loss__MIN","lyric-serenity-11 - loss__MAX","generous-sound-8 - loss","generous-sound-8 - loss__MIN","generous-sound-8 - loss__MAX","serene-cloud-7 - loss","serene-cloud-7 - loss__MIN","serene-cloud-7 - loss__MAX","hearty-universe-6 - loss","hearty-universe-6 - loss__MIN","hearty-universe-6 - loss__MAX","hopeful-sun-5 - loss","hopeful-sun-5 - loss__MIN","hopeful-sun-5 - loss__MAX","generous-cherry-4 - loss","generous-cherry-4 - loss__MIN","generous-cherry-4 - loss__MAX"
"0","1.9061851256932967","1.9061851256932967","1.9061851256932967","1.9061851256932967","1.9061851256932967","1.9061851256932967","2.0054351083743267","2.0054351083743267","2.0054351083743267","2.0555819001717444","2.0555819001717444","2.0555819001717444","2.2720797650324993","2.2720797650324993","2.2720797650324993","2.684231156722093","2.684231156722093","2.684231156722093"
"1","1.9104541322359672","1.9104541322359672","1.9104541322359672","1.9104541322359672","1.9104541322359672","1.9104541322359672","2.016304130737598","2.016304130737598","2.016304130737598","2.0604693503716054","2.0604693503716054","2.0604693503716054","2.2725418225312843","2.2725418225312843","2.2725418225312843","2.6787899476595416","2.6787899476595416","2.6787899476595416"
"2","1.9377514731425505","1.9377514731425505","1.9377514731425505","1.9377514731425505","1.9377514731425505","1.9377514731425505","2.051649895616067","2.051649895616067","2.051649895616067","2.09660976093549","2.09660976093549","2.09660976093549","2.314203041486251","2.314203041486251","2.314203041486251","2.7081506626728253","2.7081506626728253","2.7081506626728253"
"3","1.9764023503431907","1.9764023503431907","1.9764023503431907","1.9764023503431907","1.9764023503431907","1.9764023503431907","2.1047324996728163","2.1047324996728163","2.1047324996728163","2.14767436339305","2.14767436339305","2.14767436339305","2.3626180359950433","2.3626180359950433","2.3626180359950433","2.76415148186378","2.76415148186378","2.76415148186378"
"4","1.91267207914438","1.91267207914438","1.91267207914438","1.91267207914438","1.91267207914438","1.91267207914438","2.0234355873022323","2.0234355873022323","2.0234355873022323","2.0680714559096556","2.0680714559096556","2.0680714559096556","2.270563312065907","2.270563312065907","2.270563312065907","2.6453916866045732","2.6453916866045732","2.6453916866045732"
"5","1.9415233024419882","1.9415233024419882","1.9415233024419882","1.9415233024419882","1.9415233024419882","1.9415233024419882","2.0517326650711207","2.0517326650711207","2.0517326650711207","2.097618635266255","2.097618635266255","2.097618635266255","2.298335563678008","2.298335563678008","2.298335563678008","2.670432801812123","2.670432801812123","2.670432801812123"
"6","1.9109870485770397","1.9109870485770397","1.9109870485770397","1.9109870485770397","1.9109870485770397","1.9109870485770397","2.0131348291268716","2.0131348291268716","2.0131348291268716","2.0561276364784975","2.0561276364784975","2.0561276364784975","2.246288862748024","2.246288862748024","2.246288862748024","2.5970263809729843","2.5970263809729843","2.5970263809729843"
"7","1.8486402183771133","1.8486402183771133","1.8486402183771133","1.8486402183771133","1.8486402183771133","1.8486402183771133","1.9519203805770629","1.9519203805770629","1.9519203805770629","1.99447335761327","1.99447335761327","1.99447335761327","2.1735321145791273","2.1735321145791273","2.1735321145791273","2.5090026366404996","2.5090026366404996","2.5090026366404996"
"8","1.8772149601807961","1.8772149601807961","1.8772149601807961","1.8772149601807961","1.8772149601807961","1.8772149601807961","1.9812803455652335","1.9812803455652335","1.9812803455652335","2.021677928093152","2.021677928093152","2.021677928093152","2.2033645541240006","2.2033645541240006","2.2033645541240006","2.5360584327807794","2.5360584327807794","2.5360584327807794"
"9","1.8921790298743126","1.8921790298743126","1.8921790298743126","1.8921790298743126","1.8921790298743126","1.8921790298743126","1.9907196733431938","1.9907196733431938","1.9907196733431938","2.0303086764537372","2.0303086764537372","2.0303086764537372","2.2085514217615128","2.2085514217615128","2.2085514217615128","2.5380653265195017","2.5380653265195017","2.5380653265195017"
