"Step","lyric-serenity-11 - train-top5-acc","lyric-serenity-11 - train-top5-acc__MIN","lyric-serenity-11 - train-top5-acc__MAX","generous-sound-8 - train-top5-acc","generous-sound-8 - train-top5-acc__MIN","generous-sound-8 - train-top5-acc__MAX","serene-cloud-7 - train-top5-acc","serene-cloud-7 - train-top5-acc__MIN","serene-cloud-7 - train-top5-acc__MAX","hearty-universe-6 - train-top5-acc","hearty-universe-6 - train-top5-acc__MIN","hearty-universe-6 - train-top5-acc__MAX","hopeful-sun-5 - train-top5-acc","hopeful-sun-5 - train-top5-acc__MIN","hopeful-sun-5 - train-top5-acc__MAX","generous-cherry-4 - train-top5-acc","generous-cherry-4 - train-top5-acc__MIN","generous-cherry-4 - train-top5-acc__MAX"
"0","95.09519919370993","95.09519919370993","95.09519919370993","95.09519919370993","95.09519919370993","95.09519919370993","94.07223432491988","94.07223432491988","94.07223432491988","93.57127654246794","93.57127654246794","93.57127654246794","91.41000600961539","91.41000600961539","91.41000600961539","86.5314190204327","86.5314190204327","86.5314190204327"
"1","95.0748541416266","95.0748541416266","95.0748541416266","95.0748541416266","95.0748541416266","95.0748541416266","93.97739508213141","93.97739508213141","93.97739508213141","93.51955316005609","93.51955316005609","93.51955316005609","91.42260429186699","91.42260429186699","91.42260429186699","86.67805989583333","86.67805989583333","86.67805989583333"
"2","94.67030060596956","94.67030060596956","94.67030060596956","94.67030060596956","94.67030060596956","94.67030060596956","93.39114458133012","93.39114458133012","93.39114458133012","92.9294683994391","92.9294683994391","92.9294683994391","90.56443434495192","90.56443434495192","90.56443434495192","85.90627817007211","85.90627817007211","85.90627817007211"
"3","94.77914663461539","94.77914663461539","94.77914663461539","94.77914663461539","94.77914663461539","94.77914663461539","93.38018955328526","93.38018955328526","93.38018955328526","92.938232421875","92.938232421875","92.938232421875","90.71451822916667","90.71451822916667","90.71451822916667","86.03797325721153","86.03797325721153","86.03797325721153"
"4","94.91444123096956","94.91444123096956","94.91444123096956","94.91444123096956","94.91444123096956","94.91444123096956","93.7351324619391","93.7351324619391","93.7351324619391","93.23472243088942","93.23472243088942","93.23472243088942","91.11586350661058","91.11586350661058","91.11586350661058","86.77548139523238","86.77548139523238","86.77548139523238"
"5","94.7845458984375","94.7845458984375","94.7845458984375","94.7845458984375","94.7845458984375","94.7845458984375","93.55257474459134","93.55257474459134","93.55257474459134","93.0530254657452","93.0530254657452","93.0530254657452","90.91421274038461","90.91421274038461","90.91421274038461","86.56858786558493","86.56858786558493","86.56858786558493"
"6","95.37502191005609","95.37502191005609","95.37502191005609","95.37502191005609","95.37502191005609","95.37502191005609","94.3473620292468","94.3473620292468","94.3473620292468","93.91776842948718","93.91776842948718","93.91776842948718","92.04586713741988","92.04586713741988","92.04586713741988","88.28406700721153","88.28406700721153","88.28406700721153"
"7","95.51688952323718","95.51688952323718","95.51688952323718","95.51688952323718","95.51688952323718","95.51688952323718","94.41817846053686","94.41817846053686","94.41817846053686","93.98514185196314","93.98514185196314","93.98514185196314","92.1490009014423","92.1490009014423","92.1490009014423","88.46294696514423","88.46294696514423","88.46294696514423"
"8","95.41485126201923","95.41485126201923","95.41485126201923","95.41485126201923","95.41485126201923","95.41485126201923","94.36019506209936","94.36019506209936","94.36019506209936","93.93420097155449","93.93420097155449","93.93420097155449","92.11402306189903","92.11402306189903","92.11402306189903","88.5711669921875","88.5711669921875","88.5711669921875"
"9","95.33785306490384","95.33785306490384","95.33785306490384","95.33785306490384","95.33785306490384","95.33785306490384","94.31441869491186","94.31441869491186","94.31441869491186","93.89601487379808","93.89601487379808","93.89601487379808","92.08397498497597","92.08397498497597","92.08397498497597","88.58423477564102","88.58423477564102","88.58423477564102"
"10","95.6539056239984","95.6539056239984","95.6539056239984","95.6539056239984","95.6539056239984","95.6539056239984","94.61943797576122","94.61943797576122","94.61943797576122","","","","92.63845590444711","92.63845590444711","92.63845590444711","89.45257724859776","89.45257724859776","89.45257724859776"
"11","95.57338616786859","95.57338616786859","95.57338616786859","95.57338616786859","95.57338616786859","95.57338616786859","94.44079276842949","94.44079276842949","94.44079276842949","","","","92.40871331630609","92.40871331630609","92.40871331630609","89.23598069411058","89.23598069411058","89.23598069411058"
"12","95.30357947716347","95.30357947716347","95.30357947716347","95.30357947716347","95.30357947716347","95.30357947716347","94.16550856370192","94.16550856370192","94.16550856370192","","","","91.9330303485577","91.9330303485577","91.9330303485577","88.568115234375","88.568115234375","88.568115234375"
"13","95.73066907051282","95.73066907051282","95.73066907051282","95.73066907051282","95.73066907051282","95.73066907051282","94.7452642978766","94.7452642978766","94.7452642978766","","","","92.73611215444711","92.73611215444711","92.73611215444711","89.91636618589743","89.91636618589743","89.91636618589743"
"14","95.48746744791667","95.48746744791667","95.48746744791667","95.48746744791667","95.48746744791667","95.48746744791667","94.4362542568109","94.4362542568109","94.4362542568109","","","","92.28186974158653","92.28186974158653","92.28186974158653","89.14294120592949","89.14294120592949","89.14294120592949"
"15","95.21187024238782","95.21187024238782","95.21187024238782","95.21187024238782","95.21187024238782","95.21187024238782","94.1554925380609","94.1554925380609","94.1554925380609","","","","91.93271734775641","91.93271734775641","91.93271734775641","88.72539813701923","88.72539813701923","88.72539813701923"
"16","95.67886743790064","95.67886743790064","95.67886743790064","95.67886743790064","95.67886743790064","95.67886743790064","94.7582538311298","94.7582538311298","94.7582538311298","","","","92.71388909755609","92.71388909755609","92.71388909755609","89.97333233173077","89.97333233173077","89.97333233173077"
"17","95.56681315104167","95.56681315104167","95.56681315104167","95.56681315104167","95.56681315104167","95.56681315104167","94.57953037359776","94.57953037359776","94.57953037359776","","","","92.56231845953526","92.56231845953526","92.56231845953526","89.70485589443109","89.70485589443109","89.70485589443109"
"18","95.54192958733974","95.54192958733974","95.54192958733974","95.54192958733974","95.54192958733974","95.54192958733974","94.51051369691507","94.51051369691507","94.51051369691507","","","","92.49212802984776","92.49212802984776","92.49212802984776","89.56963954827724","89.56963954827724","89.56963954827724"
"19","96.01651705228366","96.01651705228366","96.01651705228366","96.01651705228366","96.01651705228366","96.01651705228366","95.1362805488782","95.1362805488782","95.1362805488782","","","","93.23777418870192","93.23777418870192","93.23777418870192","90.69792918669872","90.69792918669872","90.69792918669872"
"20","95.9079840244391","95.9079840244391","95.9079840244391","95.9079840244391","95.9079840244391","95.9079840244391","95.02289600861378","95.02289600861378","95.02289600861378","","","","93.16805326021634","93.16805326021634","93.16805326021634","90.69675543369391","90.69675543369391","90.69675543369391"
"21","96.21605506310097","96.21605506310097","96.21605506310097","96.21605506310097","96.21605506310097","96.21605506310097","95.3136737530048","95.3136737530048","95.3136737530048","","","","93.48191481370192","93.48191481370192","93.48191481370192","91.14974584334936","91.14974584334936","91.14974584334936"
"22","95.92308631310097","95.92308631310097","95.92308631310097","95.92308631310097","95.92308631310097","95.92308631310097","94.91733648838141","94.91733648838141","94.91733648838141","","","","93.02970690604968","93.02970690604968","93.02970690604968","90.61193221654648","90.61193221654648","90.61193221654648"
"23","95.82957732371794","95.82957732371794","95.82957732371794","95.82957732371794","95.82957732371794","95.82957732371794","94.85113681891026","94.85113681891026","94.85113681891026","","","","92.84574068509616","92.84574068509616","92.84574068509616","90.38672814002403","90.38672814002403","90.38672814002403"
"24","96.11769456129808","96.11769456129808","96.11769456129808","96.11769456129808","96.11769456129808","96.11769456129808","95.13800205328526","95.13800205328526","95.13800205328526","","","","93.31696339142628","93.31696339142628","93.31696339142628","91.0869891826923","91.0869891826923","91.0869891826923"
"25","95.87730994591347","95.87730994591347","95.87730994591347","95.87730994591347","95.87730994591347","95.87730994591347","94.93877704326923","94.93877704326923","94.93877704326923","","","","93.0206298828125","93.0206298828125","93.0206298828125","90.59659517728366","90.59659517728366","90.59659517728366"
"26","95.62620505308493","95.62620505308493","95.62620505308493","95.62620505308493","95.62620505308493","95.62620505308493","","","","","","","92.59901780348558","92.59901780348558","92.59901780348558","90.07544884314903","90.07544884314903","90.07544884314903"
"27","96.03772285657051","96.03772285657051","96.03772285657051","96.08318622295673","96.08318622295673","96.08318622295673","","","","","","","93.25671073717949","93.25671073717949","93.25671073717949","91.03503104967949","91.03503104967949","91.03503104967949"
"28","95.92645107171474","95.92645107171474","95.92645107171474","95.97598344851762","95.97598344851762","95.97598344851762","","","","","","","93.060302734375","93.060302734375","93.060302734375","90.80051519931891","90.80051519931891","90.80051519931891"
"29","96.15345490284456","96.15345490284456","96.15345490284456","96.1433606270032","96.1433606270032","96.1433606270032","","","","","","","93.51916190905449","93.51916190905449","93.51916190905449","91.29693447015224","91.29693447015224","91.29693447015224"
"30","96.11785106169872","96.11785106169872","96.11785106169872","96.14860339042468","96.14860339042468","96.14860339042468","","","","","","","93.45914400540866","93.45914400540866","93.45914400540866","91.31837502504007","91.31837502504007","91.31837502504007"
"31","96.36895595452724","96.36895595452724","96.36895595452724","96.44032013721956","96.44032013721956","96.44032013721956","","","","","","","93.98146409254808","93.98146409254808","93.98146409254808","92.07239395532852","92.07239395532852","92.07239395532852"
"32","96.36981670673077","96.36981670673077","96.36981670673077","96.41316731770833","96.41316731770833","96.41316731770833","","","","","","","93.91534267327724","93.91534267327724","93.91534267327724","91.93811661157852","91.93811661157852","91.93811661157852"
"33","96.03060208834134","96.03060208834134","96.03060208834134","96.01878630809294","96.01878630809294","96.01878630809294","","","","","","","93.24293870192308","93.24293870192308","93.24293870192308","","",""
