"Step","eternal-wind-4 - epoch","eternal-wind-4 - epoch__MIN","eternal-wind-4 - epoch__MAX","warm-meadow-3 - epoch","warm-meadow-3 - epoch__MIN","warm-meadow-3 - epoch__MAX","cerulean-sea-2 - epoch","cerulean-sea-2 - epoch__MIN","cerulean-sea-2 - epoch__MAX"
"0","291","291","291","184","184","184","171","171","171"
"1","292","292","292","185","185","185","172","172","172"
"2","293","293","293","186","186","186","173","173","173"
"3","294","294","294","187","187","187","174","174","174"
"4","295","295","295","188","188","188","175","175","175"
"5","296","296","296","189","189","189","176","176","176"
"6","297","297","297","190","190","190","177","177","177"
"7","298","298","298","191","191","191","178","178","178"
"8","299","299","299","192","192","192","179","179","179"
"9","","","","193","193","193","180","180","180"
"10","","","","194","194","194","181","181","181"
"11","","","","195","195","195","182","182","182"
"12","","","","196","196","196","","",""
"13","","","","197","197","197","","",""
"14","","","","198","198","198","","",""
"15","","","","199","199","199","","",""
"16","","","","200","200","200","","",""
"17","","","","201","201","201","","",""
"18","","","","202","202","202","","",""
"19","","","","203","203","203","","",""
"20","","","","204","204","204","","",""
"21","","","","205","205","205","","",""
"22","","","","206","206","206","","",""
"23","","","","207","207","207","","",""
"24","","","","208","208","208","","",""
"25","","","","209","209","209","","",""
"26","","","","210","210","210","","",""
"27","","","","211","211","211","","",""
"28","","","","212","212","212","","",""
"29","","","","213","213","213","","",""
"30","","","","214","214","214","","",""
"31","","","","215","215","215","","",""
"32","","","","216","216","216","","",""
"33","","","","217","217","217","","",""
"34","","","","218","218","218","","",""
"35","","","","219","219","219","","",""
"36","","","","220","220","220","","",""
"37","","","","221","221","221","","",""
"38","","","","222","222","222","","",""
"39","","","","223","223","223","","",""
"40","","","","224","224","224","","",""
"41","","","","225","225","225","","",""
"42","","","","226","226","226","","",""
"43","","","","227","227","227","","",""
"44","","","","228","228","228","","",""
"45","","","","229","229","229","","",""
"46","","","","230","230","230","","",""
"47","","","","231","231","231","","",""
"48","","","","232","232","232","","",""
"49","","","","233","233","233","","",""
"50","","","","234","234","234","","",""
"51","","","","235","235","235","","",""
"52","","","","236","236","236","","",""
"53","","","","237","237","237","","",""
"54","","","","238","238","238","","",""
"55","","","","239","239","239","","",""
"56","","","","240","240","240","","",""
"57","","","","241","241","241","","",""
"58","","","","242","242","242","","",""
"59","","","","243","243","243","","",""
"60","","","","244","244","244","","",""
"61","","","","245","245","245","","",""
"62","","","","246","246","246","","",""
"63","","","","247","247","247","","",""
"64","","","","248","248","248","","",""
"65","","","","249","249","249","","",""
"66","","","","250","250","250","","",""
"67","","","","251","251","251","","",""
"68","","","","252","252","252","","",""
"69","","","","253","253","253","","",""
"70","","","","254","254","254","","",""
"71","","","","255","255","255","","",""
"72","","","","256","256","256","","",""
"73","","","","257","257","257","","",""
"74","","","","258","258","258","","",""
"75","","","","259","259","259","","",""
"76","","","","260","260","260","","",""
"77","","","","261","261","261","","",""
"78","","","","262","262","262","","",""
"79","","","","263","263","263","","",""
"80","","","","264","264","264","","",""
"81","","","","265","265","265","","",""
"82","","","","266","266","266","","",""
"83","","","","267","267","267","","",""
"84","","","","268","268","268","","",""
"85","","","","269","269","269","","",""
"86","","","","270","270","270","","",""
"87","","","","271","271","271","","",""
"88","","","","272","272","272","","",""
"89","","","","273","273","273","","",""
"90","","","","274","274","274","","",""
"91","","","","275","275","275","","",""
"92","","","","276","276","276","","",""
"93","","","","277","277","277","","",""
"94","","","","278","278","278","","",""
"95","","","","279","279","279","","",""
"96","","","","280","280","280","","",""
"97","","","","281","281","281","","",""
"98","","","","282","282","282","","",""
"99","","","","283","283","283","","",""
"100","","","","284","284","284","","",""
"101","","","","285","285","285","","",""
"102","","","","286","286","286","","",""
"103","","","","287","287","287","","",""
"104","","","","288","288","288","","",""
"105","","","","289","289","289","","",""
"106","","","","290","290","290","","",""
