"Step","leafy-bee-11 - loss","leafy-bee-11 - loss__MIN","leafy-bee-11 - loss__MAX","valiant-wood-10 - loss","valiant-wood-10 - loss__MIN","valiant-wood-10 - loss__MAX","skilled-river-9 - loss","skilled-river-9 - loss__MIN","skilled-river-9 - loss__MAX","breezy-sea-7 - loss","breezy-sea-7 - loss__MIN","breezy-sea-7 - loss__MAX","morning-mountain-5 - loss","morning-mountain-5 - loss__MIN","morning-mountain-5 - loss__MAX","wandering-music-4 - loss","wandering-music-4 - loss__MIN","wandering-music-4 - loss__MAX","stoic-sound-3 - loss","stoic-sound-3 - loss__MIN","stoic-sound-3 - loss__MAX"
"0","1.7926010936498642","1.7926010936498642","1.7926010936498642","1.9130397943349986","1.9130397943349986","1.9130397943349986","1.9844274608752666","1.9844274608752666","1.9844274608752666","2.0054351083743267","2.0054351083743267","2.0054351083743267","2.0555819001717444","2.0555819001717444","2.0555819001717444","2.2720797650324993","2.2720797650324993","2.2720797650324993","2.684231156722093","2.684231156722093","2.684231156722093"
"1","1.7982664276392033","1.7982664276392033","1.7982664276392033","1.9177701339507713","1.9177701339507713","1.9177701339507713","1.987330369078196","1.987330369078196","1.987330369078196","2.016304130737598","2.016304130737598","2.016304130737598","2.0604693503716054","2.0604693503716054","2.0604693503716054","2.2725418225312843","2.2725418225312843","2.2725418225312843","2.6787899476595416","2.6787899476595416","2.6787899476595416"
"2","1.824113354468957","1.824113354468957","1.824113354468957","1.9490843820266235","1.9490843820266235","1.9490843820266235","2.0309269718634777","2.0309269718634777","2.0309269718634777","2.051649895616067","2.051649895616067","2.051649895616067","2.09660976093549","2.09660976093549","2.09660976093549","2.314203041486251","2.314203041486251","2.314203041486251","2.7081506626728253","2.7081506626728253","2.7081506626728253"
"3","1.870337792696097","1.870337792696097","1.870337792696097","1.9968493049725509","1.9968493049725509","1.9968493049725509","2.081565025525215","2.081565025525215","2.081565025525215","2.1047324996728163","2.1047324996728163","2.1047324996728163","2.14767436339305","2.14767436339305","2.14767436339305","2.3626180359950433","2.3626180359950433","2.3626180359950433","2.76415148186378","2.76415148186378","2.76415148186378"
"4","1.8119483043750126","1.8119483043750126","1.8119483043750126","1.9349557138406313","1.9349557138406313","1.9349557138406313","2.0021075151669674","2.0021075151669674","2.0021075151669674","2.0234355873022323","2.0234355873022323","2.0234355873022323","2.0680714559096556","2.0680714559096556","2.0680714559096556","2.270563312065907","2.270563312065907","2.270563312065907","2.6453916866045732","2.6453916866045732","2.6453916866045732"
"5","1.836204476081408","1.836204476081408","1.836204476081408","1.9601380240458708","1.9601380240458708","1.9601380240458708","2.02352596169863","2.02352596169863","2.02352596169863","2.0517326650711207","2.0517326650711207","2.0517326650711207","2.097618635266255","2.097618635266255","2.097618635266255","2.298335563678008","2.298335563678008","2.298335563678008","2.670432801812123","2.670432801812123","2.670432801812123"
"6","1.819237938294044","1.819237938294044","1.819237938294044","1.9361145622455156","1.9361145622455156","1.9361145622455156","1.9882924346587596","1.9882924346587596","1.9882924346587596","2.0131348291268716","2.0131348291268716","2.0131348291268716","2.0561276364784975","2.0561276364784975","2.0561276364784975","2.246288862748024","2.246288862748024","2.246288862748024","2.5970263809729843","2.5970263809729843","2.5970263809729843"
"7","1.7645275543133419","1.7645275543133419","1.7645275543133419","1.8773250702099922","1.8773250702099922","1.8773250702099922","1.9341778774292042","1.9341778774292042","1.9341778774292042","1.9519203805770629","1.9519203805770629","1.9519203805770629","1.99447335761327","1.99447335761327","1.99447335761327","2.1735321145791273","2.1735321145791273","2.1735321145791273","2.5090026366404996","2.5090026366404996","2.5090026366404996"
"8","1.7919997523228328","1.7919997523228328","1.7919997523228328","1.9075166170413678","1.9075166170413678","1.9075166170413678","1.9601330080857644","1.9601330080857644","1.9601330080857644","1.9812803455652335","1.9812803455652335","1.9812803455652335","2.021677928093152","2.021677928093152","2.021677928093152","2.2033645541240006","2.2033645541240006","2.2033645541240006","2.5360584327807794","2.5360584327807794","2.5360584327807794"
"9","1.8049686191937862","1.8049686191937862","1.8049686191937862","1.9236593789015062","1.9236593789015062","1.9236593789015062","1.9646601130565007","1.9646601130565007","1.9646601130565007","1.9907196733431938","1.9907196733431938","1.9907196733431938","2.0303086764537372","2.0303086764537372","2.0303086764537372","2.2085514217615128","2.2085514217615128","2.2085514217615128","2.5380653265195017","2.5380653265195017","2.5380653265195017"
"10","1.755422226129434","1.755422226129434","1.755422226129434","1.8670042841098247","1.8670042841098247","1.8670042841098247","1.9026413735670922","1.9026413735670922","1.9026413735670922","1.9343803547895873","1.9343803547895873","1.9343803547895873","","","","2.1373667816321054","2.1373667816321054","2.1373667816321054","2.4490207808139997","2.4490207808139997","2.4490207808139997"
"11","1.8100205636941469","1.8100205636941469","1.8100205636941469","1.924295118986032","1.924295118986032","1.924295118986032","1.962793238269977","1.962793238269977","1.962793238269977","1.9939311723678539","1.9939311723678539","1.9939311723678539","","","","2.19997932551763","2.19997932551763","2.19997932551763","2.5119604720519138","2.5119604720519138","2.5119604720519138"
"12","1.825245961928979","1.825245961928979","1.825245961928979","1.944716459283462","1.944716459283462","1.944716459283462","1.980129918226829","1.980129918226829","1.980129918226829","2.0077919092697973","2.0077919092697973","2.0077919092697973","","","","2.2211814725246186","2.2211814725246186","2.2211814725246186","2.5399093681421037","2.5399093681421037","2.5399093681421037"
"13","1.8114441067744524","1.8114441067744524","1.8114441067744524","1.9231157008654032","1.9231157008654032","1.9231157008654032","1.9544257876964717","1.9544257876964717","1.9544257876964717","1.9775220086941352","1.9775220086941352","1.9775220086941352","","","","2.18293335269659","2.18293335269659","2.18293335269659","2.478546749322842","2.478546749322842","2.478546749322842"
"14","1.8239236642152836","1.8239236642152836","1.8239236642152836","1.938103613945154","1.938103613945154","1.938103613945154","1.9713530853772774","1.9713530853772774","1.9713530853772774","1.992431831283447","1.992431831283447","1.992431831283447","","","","2.2041748632223177","2.2041748632223177","2.2041748632223177","2.506749160396747","2.506749160396747","2.506749160396747"
"15","1.8438601310436542","1.8438601310436542","1.8438601310436542","1.9591516317465367","1.9591516317465367","1.9591516317465367","1.989865128046427","1.989865128046427","1.989865128046427","2.014122348565322","2.014122348565322","2.014122348565322","","","","2.2199778789893174","2.2199778789893174","2.2199778789893174","2.52040524322253","2.52040524322253","2.52040524322253"
"16","1.7707742414413354","1.7707742414413354","1.7707742414413354","1.8819630459333077","1.8819630459333077","1.8819630459333077","1.9068012008300195","1.9068012008300195","1.9068012008300195","1.9291846316594343","1.9291846316594343","1.9291846316594343","","","","2.1272217413553824","2.1272217413553824","2.1272217413553824","2.406732420508678","2.406732420508678","2.406732420508678"
"17","1.8276296785244575","1.8276296785244575","1.8276296785244575","1.9408535181711881","1.9408535181711881","1.9408535181711881","1.9544155169755986","1.9544155169755986","1.9544155169755986","1.9858751954176488","1.9858751954176488","1.9858751954176488","","","","2.181380671568406","2.181380671568406","2.181380671568406","2.464176438175715","2.464176438175715","2.464176438175715"
"18","1.8057113350966039","1.8057113350966039","1.8057113350966039","1.9162928469670124","1.9162928469670124","1.9162928469670124","1.9347519901318428","1.9347519901318428","1.9347519901318428","1.958708066588793","1.958708066588793","1.958708066588793","","","","2.1503997085950313","2.1503997085950313","2.1503997085950313","2.4304751150119","2.4304751150119","2.4304751150119"
"19","1.7606940456689932","1.7606940456689932","1.7606940456689932","1.8659557963793094","1.8659557963793094","1.8659557963793094","1.8818336568581753","1.8818336568581753","1.8818336568581753","1.8964044130765474","1.8964044130765474","1.8964044130765474","","","","2.081318747538787","2.081318747538787","2.081318747538787","2.3406225259487448","2.3406225259487448","2.3406225259487448"
"20","1.789986035762689","1.789986035762689","1.789986035762689","1.8975813125188534","1.8975813125188534","1.8975813125188534","1.9135217716296513","1.9135217716296513","1.9135217716296513","1.9314211033857787","1.9314211033857787","1.9314211033857787","","","","2.1145995217256055","2.1145995217256055","2.1145995217256055","2.3768367014634304","2.3768367014634304","2.3768367014634304"
"21","1.7579700587651668","1.7579700587651668","1.7579700587651668","1.8609303522568483","1.8609303522568483","1.8609303522568483","1.8691886743673911","1.8691886743673911","1.8691886743673911","1.8893132901344545","1.8893132901344545","1.8893132901344545","","","","2.07050588230292","2.07050588230292","2.07050588230292","2.31847159182414","2.31847159182414","2.31847159182414"
"22","1.8171036121172783","1.8171036121172783","1.8171036121172783","1.9223928646399424","1.9223928646399424","1.9223928646399424","1.9381944269706042","1.9381944269706042","1.9381944269706042","1.9508058119278688","1.9508058119278688","1.9508058119278688","","","","2.1382937003404665","2.1382937003404665","2.1382937003404665","2.3943591568714533","2.3943591568714533","2.3943591568714533"
"23","1.7869201715175922","1.7869201715175922","1.7869201715175922","1.8909867325654397","1.8909867325654397","1.8909867325654397","1.8977035475082886","1.8977035475082886","1.8977035475082886","1.920253866758102","1.920253866758102","1.920253866758102","","","","2.108096155982751","2.108096155982751","2.108096155982751","2.354932273427645","2.354932273427645","2.354932273427645"
"24","1.782936000671142","1.782936000671142","1.782936000671142","1.8877838097321682","1.8877838097321682","1.8877838097321682","1.8963719610220346","1.8963719610220346","1.8963719610220346","1.9124569319761717","1.9124569319761717","1.9124569319761717","","","","2.092592730736121","2.092592730736121","2.092592730736121","2.3338422060776978","2.3338422060776978","2.3338422060776978"
"25","1.776431380174099","1.776431380174099","1.776431380174099","1.880623704347855","1.880623704347855","1.880623704347855","","","","1.9060398603861148","1.9060398603861148","1.9060398603861148","","","","2.0872243585494847","2.0872243585494847","2.0872243585494847","2.328851390343446","2.328851390343446","2.328851390343446"
"26","1.8561777514524949","1.8561777514524949","1.8561777514524949","1.961338371038437","1.961338371038437","1.961338371038437","","","","","","","","","","2.173015229595013","2.173015229595013","2.173015229595013","2.4237700505898547","2.4237700505898547","2.4237700505898547"
"27","1.8056915215192697","1.8056915215192697","1.8056915215192697","1.9065522463657918","1.9065522463657918","1.9065522463657918","","","","","","","","","","2.1043945734317484","2.1043945734317484","2.1043945734317484","2.336515016662769","2.336515016662769","2.336515016662769"
"28","1.8137003702995105","1.8137003702995105","1.8137003702995105","1.9163420979793255","1.9163420979793255","1.9163420979793255","","","","","","","","","","2.1137205155996175","2.1137205155996175","2.1137205155996175","2.346363215492322","2.346363215492322","2.346363215492322"
"29","1.770065005391072","1.770065005391072","1.770065005391072","1.8666920589330869","1.8666920589330869","1.8666920589330869","","","","","","","","","","2.0487370930421047","2.0487370930421047","2.0487370930421047","2.269388469748008","2.269388469748008","2.269388469748008"
"30","1.8039444971543093","1.8039444971543093","1.8039444971543093","1.9024261484543483","1.9024261484543483","1.9024261484543483","","","","","","","","","","2.0835344917499103","2.0835344917499103","2.0835344917499103","2.3042187988758087","2.3042187988758087","2.3042187988758087"
"31","1.770726149662947","1.770726149662947","1.770726149662947","1.8641368926335604","1.8641368926335604","1.8641368926335604","","","","","","","","","","2.0335107285242815","2.0335107285242815","2.0335107285242815","2.238175114377951","2.238175114377951","2.238175114377951"
