"Step","leafy-bee-11 - train-top1-acc","leafy-bee-11 - train-top1-acc__MIN","leafy-bee-11 - train-top1-acc__MAX","valiant-wood-10 - train-top1-acc","valiant-wood-10 - train-top1-acc__MIN","valiant-wood-10 - train-top1-acc__MAX","skilled-river-9 - train-top1-acc","skilled-river-9 - train-top1-acc__MIN","skilled-river-9 - train-top1-acc__MAX","breezy-sea-7 - train-top1-acc","breezy-sea-7 - train-top1-acc__MIN","breezy-sea-7 - train-top1-acc__MAX","morning-mountain-5 - train-top1-acc","morning-mountain-5 - train-top1-acc__MIN","morning-mountain-5 - train-top1-acc__MAX","wandering-music-4 - train-top1-acc","wandering-music-4 - train-top1-acc__MIN","wandering-music-4 - train-top1-acc__MAX","stoic-sound-3 - train-top1-acc","stoic-sound-3 - train-top1-acc__MIN","stoic-sound-3 - train-top1-acc__MAX"
"0","88.46717247596153","88.46717247596153","88.46717247596153","86.41388721955128","86.41388721955128","86.41388721955128","84.85389122596153","84.85389122596153","84.85389122596153","84.47476900540866","84.47476900540866","84.47476900540866","83.59265449719551","83.59265449719551","83.59265449719551","80.54042718349359","80.54042718349359","80.54042718349359","71.69525928986378","71.69525928986378","71.69525928986378"
"1","88.33602514022436","88.33602514022436","88.33602514022436","86.28688714443109","86.28688714443109","86.28688714443109","84.65599646935097","84.65599646935097","84.65599646935097","84.20770107171474","84.20770107171474","84.20770107171474","83.43028533153044","83.43028533153044","83.43028533153044","80.47070625500801","80.47070625500801","80.47070625500801","71.92108936798878","71.92108936798878","71.92108936798878"
"2","87.02650803786058","87.02650803786058","87.02650803786058","84.94317470452724","84.94317470452724","84.94317470452724","83.2561786358173","83.2561786358173","83.2561786358173","82.82611553485577","82.82611553485577","82.82611553485577","82.1201422275641","82.1201422275641","82.1201422275641","79.06298515124199","79.06298515124199","79.06298515124199","71.18976299579327","71.18976299579327","71.18976299579327"
"3","86.93636380709134","86.93636380709134","86.93636380709134","84.90616235977564","84.90616235977564","84.90616235977564","83.1474108573718","83.1474108573718","83.1474108573718","82.72219926883012","82.72219926883012","82.72219926883012","82.01153094951923","82.01153094951923","82.01153094951923","79.08990322015224","79.08990322015224","79.08990322015224","71.34344638922276","71.34344638922276","71.34344638922276"
"4","87.46713491586539","87.46713491586539","87.46713491586539","85.45547876602564","85.45547876602564","85.45547876602564","83.94947541065706","83.94947541065706","83.94947541065706","83.5483648838141","83.5483648838141","83.5483648838141","82.80843098958333","82.80843098958333","82.80843098958333","79.82475085136218","79.82475085136218","79.82475085136218","72.53065842848558","72.53065842848558","72.53065842848558"
"5","86.86859913361378","86.86859913361378","86.86859913361378","84.92079514723558","84.92079514723558","84.92079514723558","83.43920585436699","83.43920585436699","83.43920585436699","82.99271021133814","82.99271021133814","82.99271021133814","82.28384164663461","82.28384164663461","82.28384164663461","79.33490459735577","79.33490459735577","79.33490459735577","72.36703725961539","72.36703725961539","72.36703725961539"
"6","88.66115472255609","88.66115472255609","88.66115472255609","86.74778082431891","86.74778082431891","86.74778082431891","85.34475473257211","85.34475473257211","85.34475473257211","84.9365234375","84.9365234375","84.9365234375","84.2189691005609","84.2189691005609","84.2189691005609","81.24780899439102","81.24780899439102","81.24780899439102","74.63198930789262","74.63198930789262","74.63198930789262"
"7","88.6386969150641","88.6386969150641","88.6386969150641","86.78009815705128","86.78009815705128","86.78009815705128","85.33990322015224","85.33990322015224","85.33990322015224","85.11712489983974","85.11712489983974","85.11712489983974","84.27726549979968","84.27726549979968","84.27726549979968","81.41080416165866","81.41080416165866","81.41080416165866","75.07449419070512","75.07449419070512","75.07449419070512"
"8","88.57601850460738","88.57601850460738","88.57601850460738","86.67821639623398","86.67821639623398","86.67821639623398","85.35531850961539","85.35531850961539","85.35531850961539","85.0146953876202","85.0146953876202","85.0146953876202","84.24580891927083","84.24580891927083","84.24580891927083","81.4129169170673","81.4129169170673","81.4129169170673","75.24461012620192","75.24461012620192","75.24461012620192"
"9","88.30057779947917","88.30057779947917","88.30057779947917","86.40277569110577","86.40277569110577","86.40277569110577","85.18645457732372","85.18645457732372","85.18645457732372","84.75819123096956","84.75819123096956","84.75819123096956","84.05542618189102","84.05542618189102","84.05542618189102","81.2884990985577","81.2884990985577","81.2884990985577","75.4192645733173","75.4192645733173","75.4192645733173"
"10","89.1452887119391","89.1452887119391","89.1452887119391","87.32534555288461","87.32534555288461","87.32534555288461","86.31044045472757","86.31044045472757","86.31044045472757","85.76331505408653","85.76331505408653","85.76331505408653","","","","82.29706593048878","82.29706593048878","82.29706593048878","76.66860727163461","76.66860727163461","76.66860727163461"
"11","88.63157614683493","88.63157614683493","88.63157614683493","86.84895833333333","86.84895833333333","86.84895833333333","85.71237417367789","85.71237417367789","85.71237417367789","85.1810553135016","85.1810553135016","85.1810553135016","","","","81.82537372295673","81.82537372295673","81.82537372295673","76.4404296875","76.4404296875","76.4404296875"
"12","87.77011969150641","87.77011969150641","87.77011969150641","85.8867938701923","85.8867938701923","85.8867938701923","84.81985238882211","84.81985238882211","84.81985238882211","84.38439002403847","84.38439002403847","84.38439002403847","","","","80.89842184995993","80.89842184995993","80.89842184995993","75.6717779697516","75.6717779697516","75.6717779697516"
"13","89.06508225661058","89.06508225661058","89.06508225661058","87.30985201322116","87.30985201322116","87.30985201322116","86.29557291666667","86.29557291666667","86.29557291666667","85.9382825020032","85.9382825020032","85.9382825020032","","","","82.45607033754007","82.45607033754007","82.45607033754007","77.46151655148238","77.46151655148238","77.46151655148238"
"14","88.05714142628206","88.05714142628206","88.05714142628206","86.26169057992789","86.26169057992789","86.26169057992789","85.21673740484776","85.21673740484776","85.21673740484776","84.87916604066507","84.87916604066507","84.87916604066507","","","","81.41988118489583","81.41988118489583","81.41988118489583","76.55091897035257","76.55091897035257","76.55091897035257"
"15","87.26524939903847","87.26524939903847","87.26524939903847","85.44444548778044","85.44444548778044","85.44444548778044","84.51702411358173","84.51702411358173","84.51702411358173","84.14142315204327","84.14142315204327","84.14142315204327","","","","80.80193935296474","80.80193935296474","80.80193935296474","76.1009020683093","76.1009020683093","76.1009020683093"
"16","88.73885717147436","88.73885717147436","88.73885717147436","86.92603478064903","86.92603478064903","86.92603478064903","85.94649877303686","85.94649877303686","85.94649877303686","85.65094776642628","85.65094776642628","85.65094776642628","","","","82.29526617588141","82.29526617588141","82.29526617588141","77.81442495492789","77.81442495492789","77.81442495492789"
"17","88.1656744541266","88.1656744541266","88.1656744541266","86.46396734775641","86.46396734775641","86.46396734775641","85.72215544871794","85.72215544871794","85.72215544871794","85.23809970953526","85.23809970953526","85.23809970953526","","","","81.92647298177083","81.92647298177083","81.92647298177083","77.5642590645032","77.5642590645032","77.5642590645032"
"18","87.79508150540866","87.79508150540866","87.79508150540866","86.08946188902243","86.08946188902243","86.08946188902243","85.36142202524039","85.36142202524039","85.36142202524039","84.90240635016026","84.90240635016026","84.90240635016026","","","","81.67896759815706","81.67896759815706","81.67896759815706","77.36534705528847","77.36534705528847","77.36534705528847"
"19","89.1334729316907","89.1334729316907","89.1334729316907","87.50939002403847","87.50939002403847","87.50939002403847","86.70458671374199","86.70458671374199","86.70458671374199","86.37984838241186","86.37984838241186","86.37984838241186","","","","83.19561298076923","83.19561298076923","83.19561298076923","79.10070174779648","79.10070174779648","79.10070174779648"
"20","88.98644080528847","88.98644080528847","88.98644080528847","87.28324694511218","87.28324694511218","87.28324694511218","86.4811041416266","86.4811041416266","86.4811041416266","86.19760366586539","86.19760366586539","86.19760366586539","","","","83.03864307892628","83.03864307892628","83.03864307892628","79.06854091546474","79.06854091546474","79.06854091546474"
"21","89.4767565604968","89.4767565604968","89.4767565604968","87.86339393028847","87.86339393028847","87.86339393028847","87.26869240785257","87.26869240785257","87.26869240785257","86.89285669571314","86.89285669571314","86.89285669571314","","","","83.68209447616186","83.68209447616186","83.68209447616186","79.8435308994391","79.8435308994391","79.8435308994391"
"22","88.56412447415866","88.56412447415866","88.56412447415866","86.96093436999199","86.96093436999199","86.96093436999199","86.1926739032452","86.1926739032452","86.1926739032452","86.00088266225961","86.00088266225961","86.00088266225961","","","","82.75271684695512","82.75271684695512","82.75271684695512","79.12574181189903","79.12574181189903","79.12574181189903"
"23","88.14032138922276","88.14032138922276","88.14032138922276","86.54675605969551","86.54675605969551","86.54675605969551","85.97232133914262","85.97232133914262","85.97232133914262","85.58928660857372","85.58928660857372","85.58928660857372","","","","82.3433117988782","82.3433117988782","82.3433117988782","78.87894068008814","78.87894068008814","78.87894068008814"
"24","88.96773900741186","88.96773900741186","88.96773900741186","87.32698880709134","87.32698880709134","87.32698880709134","86.6981701973157","86.6981701973157","86.6981701973157","86.43579727564102","86.43579727564102","86.43579727564102","","","","83.2916259765625","83.2916259765625","83.2916259765625","79.85996344150641","79.85996344150641","79.85996344150641"
"25","88.16371819911859","88.16371819911859","88.16371819911859","86.53744428585738","86.53744428585738","86.53744428585738","","","","85.66683255709134","85.66683255709134","85.66683255709134","","","","82.59230393629808","82.59230393629808","82.59230393629808","79.24147385817308","79.24147385817308","79.24147385817308"
"26","87.22275954026442","87.22275954026442","87.22275954026442","85.70181039663461","85.70181039663461","85.70181039663461","","","","","","","","","","81.69219188201122","81.69219188201122","81.69219188201122","78.36679311899039","78.36679311899039","78.36679311899039"
