"Step","legendary-universe-23 - epoch_time","legendary-universe-23 - epoch_time__MIN","legendary-universe-23 - epoch_time__MAX","different-salad-22 - epoch_time","different-salad-22 - epoch_time__MIN","different-salad-22 - epoch_time__MAX","elated-paper-21 - epoch_time","elated-paper-21 - epoch_time__MIN","elated-paper-21 - epoch_time__MAX","visionary-wave-5 - epoch_time","visionary-wave-5 - epoch_time__MIN","visionary-wave-5 - epoch_time__MAX","apricot-monkey-4 - epoch_time","apricot-monkey-4 - epoch_time__MIN","apricot-monkey-4 - epoch_time__MAX"
"0","100.38595533370972","100.38595533370972","100.38595533370972","100.21942567825317","100.21942567825317","100.21942567825317","292.9877755641937","292.9877755641937","292.9877755641937","315.84694480895996","315.84694480895996","315.84694480895996","306.6001806259155","306.6001806259155","306.6001806259155"
"1","92.446528673172","92.446528673172","92.446528673172","92.3215901851654","92.3215901851654","92.3215901851654","302.77375316619873","302.77375316619873","302.77375316619873","301.76136302948","301.76136302948","301.76136302948","306.93602991104126","306.93602991104126","306.93602991104126"
"2","93.13163232803345","93.13163232803345","93.13163232803345","92.229012966156","92.229012966156","92.229012966156","310.68726348876953","310.68726348876953","310.68726348876953","324.3616752624512","324.3616752624512","324.3616752624512","308.01963090896606","308.01963090896606","308.01963090896606"
"3","95.84772872924805","95.84772872924805","95.84772872924805","93.3248245716095","93.3248245716095","93.3248245716095","359.54861998558044","359.54861998558044","359.54861998558044","309.75090408325195","309.75090408325195","309.75090408325195","315.47585558891296","315.47585558891296","315.47585558891296"
"4","93.09124279022217","93.09124279022217","93.09124279022217","93.19592308998108","93.19592308998108","93.19592308998108","329.17232966423035","329.17232966423035","329.17232966423035","308.6148397922516","308.6148397922516","308.6148397922516","300.1654646396637","300.1654646396637","300.1654646396637"
"5","92.39000391960144","92.39000391960144","92.39000391960144","92.00584077835083","92.00584077835083","92.00584077835083","312.8692820072174","312.8692820072174","312.8692820072174","312.99747824668884","312.99747824668884","312.99747824668884","308.11071515083313","308.11071515083313","308.11071515083313"
"6","92.47537350654602","92.47537350654602","92.47537350654602","92.50264477729797","92.50264477729797","92.50264477729797","302.3261842727661","302.3261842727661","302.3261842727661","313.800315618515","313.800315618515","313.800315618515","308.3826665878296","308.3826665878296","308.3826665878296"
"7","99.93118643760681","99.93118643760681","99.93118643760681","93.05994033813477","93.05994033813477","93.05994033813477","305.45476627349854","305.45476627349854","305.45476627349854","298.14526891708374","298.14526891708374","298.14526891708374","306.59271812438965","306.59271812438965","306.59271812438965"
"8","92.32413530349731","92.32413530349731","92.32413530349731","97.89664435386658","97.89664435386658","97.89664435386658","305.88054180145264","305.88054180145264","305.88054180145264","305.4665880203247","305.4665880203247","305.4665880203247","317.9172873497009","317.9172873497009","317.9172873497009"
"9","93.51969051361084","93.51969051361084","93.51969051361084","93.7990095615387","93.7990095615387","93.7990095615387","304.9629395008087","304.9629395008087","304.9629395008087","301.78586435317993","301.78586435317993","301.78586435317993","306.3143184185028","306.3143184185028","306.3143184185028"
