"Step","legendary-universe-23 - epoch","legendary-universe-23 - epoch__MIN","legendary-universe-23 - epoch__MAX","different-salad-22 - epoch","different-salad-22 - epoch__MIN","different-salad-22 - epoch__MAX","elated-paper-21 - epoch","elated-paper-21 - epoch__MIN","elated-paper-21 - epoch__MAX","visionary-wave-5 - epoch","visionary-wave-5 - epoch__MIN","visionary-wave-5 - epoch__MAX","apricot-monkey-4 - epoch","apricot-monkey-4 - epoch__MIN","apricot-monkey-4 - epoch__MAX"
"0","236","236","236","126","126","126","111","111","111","81","81","81","51","51","51"
"1","237","237","237","127","127","127","112","112","112","82","82","82","52","52","52"
"2","238","238","238","128","128","128","113","113","113","83","83","83","53","53","53"
"3","239","239","239","129","129","129","114","114","114","84","84","84","54","54","54"
"4","240","240","240","130","130","130","115","115","115","85","85","85","55","55","55"
"5","241","241","241","131","131","131","116","116","116","86","86","86","56","56","56"
"6","242","242","242","132","132","132","117","117","117","87","87","87","57","57","57"
"7","243","243","243","133","133","133","118","118","118","88","88","88","58","58","58"
"8","244","244","244","134","134","134","119","119","119","89","89","89","59","59","59"
"9","245","245","245","135","135","135","120","120","120","90","90","90","60","60","60"
"10","246","246","246","136","136","136","121","121","121","91","91","91","61","61","61"
"11","247","247","247","137","137","137","122","122","122","92","92","92","62","62","62"
"12","248","248","248","138","138","138","123","123","123","93","93","93","63","63","63"
"13","249","249","249","139","139","139","124","124","124","94","94","94","64","64","64"
"14","250","250","250","140","140","140","","","","95","95","95","65","65","65"
"15","251","251","251","141","141","141","","","","96","96","96","66","66","66"
"16","252","252","252","142","142","142","","","","97","97","97","67","67","67"
"17","253","253","253","143","143","143","","","","98","98","98","68","68","68"
"18","254","254","254","144","144","144","","","","99","99","99","69","69","69"
"19","255","255","255","145","145","145","","","","100","100","100","70","70","70"
"20","256","256","256","146","146","146","","","","101","101","101","71","71","71"
"21","257","257","257","147","147","147","","","","102","102","102","72","72","72"
"22","258","258","258","148","148","148","","","","103","103","103","73","73","73"
"23","259","259","259","149","149","149","","","","104","104","104","74","74","74"
"24","260","260","260","150","150","150","","","","105","105","105","75","75","75"
"25","261","261","261","151","151","151","","","","106","106","106","76","76","76"
"26","262","262","262","152","152","152","","","","107","107","107","77","77","77"
"27","263","263","263","153","153","153","","","","108","108","108","78","78","78"
"28","264","264","264","154","154","154","","","","109","109","109","79","79","79"
"29","265","265","265","155","155","155","","","","110","110","110","80","80","80"
"30","266","266","266","156","156","156","","","","111","111","111","81","81","81"
"31","267","267","267","157","157","157","","","","112","112","112","82","82","82"
"32","268","268","268","158","158","158","","","","113","113","113","83","83","83"
"33","269","269","269","159","159","159","","","","114","114","114","","",""
"34","270","270","270","160","160","160","","","","","","","","",""
"35","271","271","271","161","161","161","","","","","","","","",""
"36","272","272","272","162","162","162","","","","","","","","",""
"37","273","273","273","163","163","163","","","","","","","","",""
"38","274","274","274","164","164","164","","","","","","","","",""
"39","275","275","275","165","165","165","","","","","","","","",""
"40","276","276","276","166","166","166","","","","","","","","",""
"41","277","277","277","167","167","167","","","","","","","","",""
"42","278","278","278","168","168","168","","","","","","","","",""
"43","279","279","279","169","169","169","","","","","","","","",""
"44","280","280","280","170","170","170","","","","","","","","",""
"45","281","281","281","171","171","171","","","","","","","","",""
"46","282","282","282","172","172","172","","","","","","","","",""
"47","283","283","283","173","173","173","","","","","","","","",""
"48","284","284","284","174","174","174","","","","","","","","",""
"49","285","285","285","175","175","175","","","","","","","","",""
"50","286","286","286","176","176","176","","","","","","","","",""
"51","287","287","287","177","177","177","","","","","","","","",""
"52","288","288","288","178","178","178","","","","","","","","",""
"53","289","289","289","179","179","179","","","","","","","","",""
"54","290","290","290","180","180","180","","","","","","","","",""
"55","291","291","291","181","181","181","","","","","","","","",""
"56","292","292","292","182","182","182","","","","","","","","",""
"57","293","293","293","183","183","183","","","","","","","","",""
"58","294","294","294","184","184","184","","","","","","","","",""
"59","295","295","295","185","185","185","","","","","","","","",""
"60","296","296","296","186","186","186","","","","","","","","",""
"61","297","297","297","187","187","187","","","","","","","","",""
"62","298","298","298","188","188","188","","","","","","","","",""
"63","299","299","299","189","189","189","","","","","","","","",""
"64","","","","190","190","190","","","","","","","","",""
"65","","","","191","191","191","","","","","","","","",""
"66","","","","192","192","192","","","","","","","","",""
"67","","","","193","193","193","","","","","","","","",""
"68","","","","194","194","194","","","","","","","","",""
"69","","","","195","195","195","","","","","","","","",""
"70","","","","196","196","196","","","","","","","","",""
"71","","","","197","197","197","","","","","","","","",""
"72","","","","198","198","198","","","","","","","","",""
"73","","","","199","199","199","","","","","","","","",""
"74","","","","200","200","200","","","","","","","","",""
"75","","","","201","201","201","","","","","","","","",""
"76","","","","202","202","202","","","","","","","","",""
"77","","","","203","203","203","","","","","","","","",""
"78","","","","204","204","204","","","","","","","","",""
"79","","","","205","205","205","","","","","","","","",""
"80","","","","206","206","206","","","","","","","","",""
"81","","","","207","207","207","","","","","","","","",""
"82","","","","208","208","208","","","","","","","","",""
"83","","","","209","209","209","","","","","","","","",""
"84","","","","210","210","210","","","","","","","","",""
"85","","","","211","211","211","","","","","","","","",""
"86","","","","212","212","212","","","","","","","","",""
"87","","","","213","213","213","","","","","","","","",""
"88","","","","214","214","214","","","","","","","","",""
"89","","","","215","215","215","","","","","","","","",""
"90","","","","216","216","216","","","","","","","","",""
"91","","","","217","217","217","","","","","","","","",""
"92","","","","218","218","218","","","","","","","","",""
"93","","","","219","219","219","","","","","","","","",""
"94","","","","220","220","220","","","","","","","","",""
"95","","","","221","221","221","","","","","","","","",""
"96","","","","222","222","222","","","","","","","","",""
"97","","","","223","223","223","","","","","","","","",""
"98","","","","224","224","224","","","","","","","","",""
"99","","","","225","225","225","","","","","","","","",""
"100","","","","226","226","226","","","","","","","","",""
