"Step","legendary-universe-23 - loss","legendary-universe-23 - loss__MIN","legendary-universe-23 - loss__MAX","different-salad-22 - loss","different-salad-22 - loss__MIN","different-salad-22 - loss__MAX","elated-paper-21 - loss","elated-paper-21 - loss__MIN","elated-paper-21 - loss__MAX","visionary-wave-5 - loss","visionary-wave-5 - loss__MIN","visionary-wave-5 - loss__MAX","apricot-monkey-4 - loss","apricot-monkey-4 - loss__MIN","apricot-monkey-4 - loss__MAX"
"0","1.8909110381053045","1.8909110381053045","1.8909110381053045","2.0265395014713974","2.0265395014713974","2.0265395014713974","2.0555819001717444","2.0555819001717444","2.0555819001717444","2.2720797650324993","2.2720797650324993","2.2720797650324993","2.684231156722093","2.684231156722093","2.684231156722093"
"1","1.8968028193100905","1.8968028193100905","1.8968028193100905","2.032882089416186","2.032882089416186","2.032882089416186","2.0604693503716054","2.0604693503716054","2.0604693503716054","2.2725418225312843","2.2725418225312843","2.2725418225312843","2.6787899476595416","2.6787899476595416","2.6787899476595416"
"2","1.9272970232443931","1.9272970232443931","1.9272970232443931","2.0685021571623974","2.0685021571623974","2.0685021571623974","2.09660976093549","2.09660976093549","2.09660976093549","2.314203041486251","2.314203041486251","2.314203041486251","2.7081506626728253","2.7081506626728253","2.7081506626728253"
"3","1.9742570198499239","1.9742570198499239","1.9742570198499239","2.1243788439493914","2.1243788439493914","2.1243788439493914","2.14767436339305","2.14767436339305","2.14767436339305","2.3626180359950433","2.3626180359950433","2.3626180359950433","2.76415148186378","2.76415148186378","2.76415148186378"
"4","1.9101303422298186","1.9101303422298186","1.9101303422298186","2.054965852544858","2.054965852544858","2.054965852544858","2.073804802237413","2.073804802237413","2.073804802237413","2.270563312065907","2.270563312065907","2.270563312065907","2.6453916866045732","2.6453916866045732","2.6453916866045732"
"5","1.9392408705674684","1.9392408705674684","1.9392408705674684","2.0855088157531543","2.0855088157531543","2.0855088157531543","2.102410626717103","2.102410626717103","2.102410626717103","2.298335563678008","2.298335563678008","2.298335563678008","2.670432801812123","2.670432801812123","2.670432801812123"
"6","1.9144198703460205","1.9144198703460205","1.9144198703460205","2.056006086560396","2.056006086560396","2.056006086560396","2.0577956415139713","2.0577956415139713","2.0577956415139713","2.246288862748024","2.246288862748024","2.246288862748024","2.5970263809729843","2.5970263809729843","2.5970263809729843"
"7","1.8534628664835906","1.8534628664835906","1.8534628664835906","1.9927986073188293","1.9927986073188293","1.9927986073188293","1.9967597684799097","1.9967597684799097","1.9967597684799097","2.1735321145791273","2.1735321145791273","2.1735321145791273","2.5090026366404996","2.5090026366404996","2.5090026366404996"
"8","1.8833908771093075","1.8833908771093075","1.8833908771093075","2.027475478175359","2.027475478175359","2.027475478175359","2.0200552283189235","2.0200552283189235","2.0200552283189235","2.2033645541240006","2.2033645541240006","2.2033645541240006","2.5360584327807794","2.5360584327807794","2.5360584327807794"
"9","1.898510448061503","1.898510448061503","1.898510448061503","2.0421310433974633","2.0421310433974633","2.0421310433974633","2.0369600596336217","2.0369600596336217","2.0369600596336217","2.2085514217615128","2.2085514217615128","2.2085514217615128","2.5380653265195017","2.5380653265195017","2.5380653265195017"
"10","1.8432708222132463","1.8432708222132463","1.8432708222132463","1.9806900750368068","1.9806900750368068","1.9806900750368068","1.9704253306755652","1.9704253306755652","1.9704253306755652","2.1373667816321054","2.1373667816321054","2.1373667816321054","2.4490207808139997","2.4490207808139997","2.4490207808139997"
"11","1.9009029135490074","1.9009029135490074","1.9009029135490074","2.044867421572025","2.044867421572025","2.044867421572025","2.0289666045170565","2.0289666045170565","2.0289666045170565","2.19997932551763","2.19997932551763","2.19997932551763","2.5119604720519138","2.5119604720519138","2.5119604720519138"
"12","1.9227080975587552","1.9227080975587552","1.9227080975587552","2.069122310632314","2.069122310632314","2.069122310632314","2.0526134012601314","2.0526134012601314","2.0526134012601314","2.2211814725246186","2.2211814725246186","2.2211814725246186","2.5399093681421037","2.5399093681421037","2.5399093681421037"
"13","1.9011217810404606","1.9011217810404606","1.9011217810404606","2.0438659290472665","2.0438659290472665","2.0438659290472665","2.0233229948924136","2.0233229948924136","2.0233229948924136","2.18293335269659","2.18293335269659","2.18293335269659","2.478546749322842","2.478546749322842","2.478546749322842"
"14","1.916464171348474","1.916464171348474","1.916464171348474","2.0625493106169577","2.0625493106169577","2.0625493106169577","","","","2.2041748632223177","2.2041748632223177","2.2041748632223177","2.506749160396747","2.506749160396747","2.506749160396747"
"15","1.9372049019886897","1.9372049019886897","1.9372049019886897","2.08617588915886","2.08617588915886","2.08617588915886","","","","2.2199778789893174","2.2199778789893174","2.2199778789893174","2.52040524322253","2.52040524322253","2.52040524322253"
"16","1.8591205263749147","1.8591205263749147","1.8591205263749147","1.9994012961785","1.9994012961785","1.9994012961785","","","","2.1272217413553824","2.1272217413553824","2.1272217413553824","2.406732420508678","2.406732420508678","2.406732420508678"
"17","1.9197873022311773","1.9197873022311773","1.9197873022311773","2.061969376909427","2.061969376909427","2.061969376909427","","","","2.181380671568406","2.181380671568406","2.181380671568406","2.464176438175715","2.464176438175715","2.464176438175715"
"18","1.8943133247204316","1.8943133247204316","1.8943133247204316","2.0407573821452947","2.0407573821452947","2.0407573821452947","","","","2.1503997085950313","2.1503997085950313","2.1503997085950313","2.4304751150119","2.4304751150119","2.4304751150119"
"19","1.8421059781924272","1.8421059781924272","1.8421059781924272","1.9799636801083882","1.9799636801083882","1.9799636801083882","","","","2.081318747538787","2.081318747538787","2.081318747538787","2.3406225259487448","2.3406225259487448","2.3406225259487448"
"20","1.8756852872096574","1.8756852872096574","1.8756852872096574","2.015925646210328","2.015925646210328","2.015925646210328","","","","2.1145995217256055","2.1145995217256055","2.1145995217256055","2.3768367014634304","2.3768367014634304","2.3768367014634304"
"21","1.8396059331985621","1.8396059331985621","1.8396059331985621","1.9749152778815","1.9749152778815","1.9749152778815","","","","2.07050588230292","2.07050588230292","2.07050588230292","2.31847159182414","2.31847159182414","2.31847159182414"
"22","1.9030213096202948","1.9030213096202948","1.9030213096202948","2.046764006217321","2.046764006217321","2.046764006217321","","","","2.1382937003404665","2.1382937003404665","2.1382937003404665","2.3943591568714533","2.3943591568714533","2.3943591568714533"
"23","1.8702573344493523","1.8702573344493523","1.8702573344493523","2.0140536022491946","2.0140536022491946","2.0140536022491946","","","","2.108096155982751","2.108096155982751","2.108096155982751","2.354932273427645","2.354932273427645","2.354932273427645"
"24","1.8680768532630725","1.8680768532630725","1.8680768532630725","2.0094880022299595","2.0094880022299595","2.0094880022299595","","","","2.092592730736121","2.092592730736121","2.092592730736121","2.3338422060776978","2.3338422060776978","2.3338422060776978"
