"Step","legendary-universe-23 - train-top5-acc","legendary-universe-23 - train-top5-acc__MIN","legendary-universe-23 - train-top5-acc__MAX","different-salad-22 - train-top5-acc","different-salad-22 - train-top5-acc__MIN","different-salad-22 - train-top5-acc__MAX","elated-paper-21 - train-top5-acc","elated-paper-21 - train-top5-acc__MIN","elated-paper-21 - train-top5-acc__MAX","visionary-wave-5 - train-top5-acc","visionary-wave-5 - train-top5-acc__MIN","visionary-wave-5 - train-top5-acc__MAX","apricot-monkey-4 - train-top5-acc","apricot-monkey-4 - train-top5-acc__MIN","apricot-monkey-4 - train-top5-acc__MAX"
"0","95.34481733273238","95.34481733273238","95.34481733273238","93.9521985176282","93.9521985176282","93.9521985176282","93.57127654246794","93.57127654246794","93.57127654246794","91.41000600961539","91.41000600961539","91.41000600961539","86.5314190204327","86.5314190204327","86.5314190204327"
"1","95.27697440905449","95.27697440905449","95.27697440905449","93.90978690905449","93.90978690905449","93.90978690905449","93.51955316005609","93.51955316005609","93.51955316005609","91.42260429186699","91.42260429186699","91.42260429186699","86.67805989583333","86.67805989583333","86.67805989583333"
"2","94.84878931290064","94.84878931290064","94.84878931290064","93.3361346905048","93.3361346905048","93.3361346905048","92.9294683994391","92.9294683994391","92.9294683994391","90.56443434495192","90.56443434495192","90.56443434495192","85.90627817007211","85.90627817007211","85.90627817007211"
"3","94.89730443709936","94.89730443709936","94.89730443709936","93.3086688701923","93.3086688701923","93.3086688701923","92.938232421875","92.938232421875","92.938232421875","90.71451822916667","90.71451822916667","90.71451822916667","86.03797325721153","86.03797325721153","86.03797325721153"
"4","95.01671424278847","95.01671424278847","95.01671424278847","93.46829927884616","93.46829927884616","93.46829927884616","93.18558130508814","93.18558130508814","93.18558130508814","91.11586350661058","91.11586350661058","91.11586350661058","86.77548139523238","86.77548139523238","86.77548139523238"
"5","94.86749111077724","94.86749111077724","94.86749111077724","93.304443359375","93.304443359375","93.304443359375","93.00912710336539","93.00912710336539","93.00912710336539","90.91421274038461","90.91421274038461","90.91421274038461","86.56858786558493","86.56858786558493","86.56858786558493"
"6","95.45045510316507","95.45045510316507","95.45045510316507","94.0399169921875","94.0399169921875","94.0399169921875","93.91502967247597","93.91502967247597","93.91502967247597","92.04586713741988","92.04586713741988","92.04586713741988","88.28406700721153","88.28406700721153","88.28406700721153"
"7","95.48973670372597","95.48973670372597","95.48973670372597","94.08201559995993","94.08201559995993","94.08201559995993","93.9471905048077","93.9471905048077","93.9471905048077","92.1490009014423","92.1490009014423","92.1490009014423","88.46294696514423","88.46294696514423","88.46294696514423"
"8","95.42666704226762","95.42666704226762","95.42666704226762","93.99241912059294","93.99241912059294","93.99241912059294","93.95517202524039","93.95517202524039","93.95517202524039","92.11402306189903","92.11402306189903","92.11402306189903","88.5711669921875","88.5711669921875","88.5711669921875"
"9","95.35725911458333","95.35725911458333","95.35725911458333","93.89804937900641","93.89804937900641","93.89804937900641","93.8488300030048","93.8488300030048","93.8488300030048","92.08397498497597","92.08397498497597","92.08397498497597","88.58423477564102","88.58423477564102","88.58423477564102"
"10","95.62080578926282","95.62080578926282","95.62080578926282","94.27169408553686","94.27169408553686","94.27169408553686","94.29720365084134","94.29720365084134","94.29720365084134","92.63845590444711","92.63845590444711","92.63845590444711","89.45257724859776","89.45257724859776","89.45257724859776"
"11","95.45961037660257","95.45961037660257","95.45961037660257","94.04852451422276","94.04852451422276","94.04852451422276","94.07403407952724","94.07403407952724","94.07403407952724","92.40871331630609","92.40871331630609","92.40871331630609","89.23598069411058","89.23598069411058","89.23598069411058"
"12","95.13573279747597","95.13573279747597","95.13573279747597","93.63927596654648","93.63927596654648","93.63927596654648","93.68051382211539","93.68051382211539","93.68051382211539","91.9330303485577","91.9330303485577","91.9330303485577","88.568115234375","88.568115234375","88.568115234375"
"13","95.59662647736378","95.59662647736378","95.59662647736378","94.20870267427884","94.20870267427884","94.20870267427884","94.29610814803686","94.29610814803686","94.29610814803686","92.73611215444711","92.73611215444711","92.73611215444711","89.91636618589743","89.91636618589743","89.91636618589743"
"14","95.28229542267628","95.28229542267628","95.28229542267628","93.82191193409456","93.82191193409456","93.82191193409456","","","","92.28186974158653","92.28186974158653","92.28186974158653","89.14294120592949","89.14294120592949","89.14294120592949"
"15","95.03064277844551","95.03064277844551","95.03064277844551","93.50312061798878","93.50312061798878","93.50312061798878","","","","91.93271734775641","91.93271734775641","91.93271734775641","88.72539813701923","88.72539813701923","88.72539813701923"
"16","95.52158453525641","95.52158453525641","95.52158453525641","94.13592998798077","94.13592998798077","94.13592998798077","","","","92.71388909755609","92.71388909755609","92.71388909755609","89.97333233173077","89.97333233173077","89.97333233173077"
"17","95.30350122696314","95.30350122696314","95.30350122696314","93.9231676933093","93.9231676933093","93.9231676933093","","","","92.56231845953526","92.56231845953526","92.56231845953526","89.70485589443109","89.70485589443109","89.70485589443109"
"18","95.26601938100961","95.26601938100961","95.26601938100961","93.73865372095352","93.73865372095352","93.73865372095352","","","","92.49212802984776","92.49212802984776","92.49212802984776","89.56963954827724","89.56963954827724","89.56963954827724"
"19","95.7385723407452","95.7385723407452","95.7385723407452","94.37107183994391","94.37107183994391","94.37107183994391","","","","93.23777418870192","93.23777418870192","93.23777418870192","90.69792918669872","90.69792918669872","90.69792918669872"
"20","95.63316932091347","95.63316932091347","95.63316932091347","94.28922213040866","94.28922213040866","94.28922213040866","","","","93.16805326021634","93.16805326021634","93.16805326021634","90.69675543369391","90.69675543369391","90.69675543369391"
"21","95.82496056189903","95.82496056189903","95.82496056189903","94.56920134715544","94.56920134715544","94.56920134715544","","","","93.48191481370192","93.48191481370192","93.48191481370192","91.14974584334936","91.14974584334936","91.14974584334936"
"22","95.48918895232372","95.48918895232372","95.48918895232372","94.09891764322917","94.09891764322917","94.09891764322917","","","","93.02970690604968","93.02970690604968","93.02970690604968","90.61193221654648","90.61193221654648","90.61193221654648"
"23","95.43159680488782","95.43159680488782","95.43159680488782","93.96823980869391","93.96823980869391","93.96823980869391","","","","92.84574068509616","92.84574068509616","92.84574068509616","90.38672814002403","90.38672814002403","90.38672814002403"
"24","95.66173064403044","95.66173064403044","95.66173064403044","94.26723382411859","94.26723382411859","94.26723382411859","","","","93.31696339142628","93.31696339142628","93.31696339142628","91.0869891826923","91.0869891826923","91.0869891826923"
