"Step","dashing-field-5 - train-top1-acc","dashing-field-5 - train-top1-acc__MIN","dashing-field-5 - train-top1-acc__MAX","robust-breeze-3 - train-top1-acc","robust-breeze-3 - train-top1-acc__MIN","robust-breeze-3 - train-top1-acc__MAX","eager-sun-1 - train-top1-acc","eager-sun-1 - train-top1-acc__MIN","eager-sun-1 - train-top1-acc__MAX"
"0","88.16731770833333","88.16731770833333","88.16731770833333","85.90612166967148","85.90612166967148","85.90612166967148","85.7532207782452","85.7532207782452","85.7532207782452"
"1","87.96887520032051","87.96887520032051","87.96887520032051","85.77403533153044","85.77403533153044","85.77403533153044","85.69813263721956","85.69813263721956","85.69813263721956"
"2","86.65474133613782","86.65474133613782","86.65474133613782","84.56209622896634","84.56209622896634","84.56209622896634","84.4791510166266","84.4791510166266","84.4791510166266"
"3","86.5535638271234","86.5535638271234","86.5535638271234","84.43235739683493","84.43235739683493","84.43235739683493","83.95941318609776","83.95941318609776","83.95941318609776"
"4","87.16931465344551","87.16931465344551","87.16931465344551","85.0658710186298","85.0658710186298","85.0658710186298","84.9922375801282","84.9922375801282","84.9922375801282"
"5","86.56037159455128","86.56037159455128","86.56037159455128","84.5237536308093","84.5237536308093","84.5237536308093","","",""
"6","88.32976512419872","88.32976512419872","88.32976512419872","86.31231845953526","86.31231845953526","86.31231845953526","","",""
"7","88.33289513221153","88.33289513221153","88.33289513221153","86.34283603766026","86.34283603766026","86.34283603766026","","",""
"8","88.24971516927083","88.24971516927083","88.24971516927083","86.22068747495993","86.22068747495993","86.22068747495993","","",""
"9","87.96668419471153","87.96668419471153","87.96668419471153","85.99579639923878","85.99579639923878","85.99579639923878","","",""
"10","88.89105381109776","88.89105381109776","88.89105381109776","86.89770820813301","86.89770820813301","86.89770820813301","","",""
"11","88.37155073116988","88.37155073116988","88.37155073116988","86.3895514072516","86.3895514072516","86.3895514072516","","",""
"12","87.42777506510417","87.42777506510417","87.42777506510417","85.369873046875","85.369873046875","85.369873046875","","",""
"13","88.79339756109776","88.79339756109776","88.79339756109776","86.86468662359776","86.86468662359776","86.86468662359776","","",""
"14","87.75000939002403","87.75000939002403","87.75000939002403","85.80103165064102","85.80103165064102","85.80103165064102","","",""
"15","86.96140387119391","86.96140387119391","86.96140387119391","85.0689227764423","85.0689227764423","85.0689227764423","","",""
"16","88.43258588741988","88.43258588741988","88.43258588741988","86.51404747596153","86.51404747596153","86.51404747596153","","",""
"17","87.83405010516827","87.83405010516827","87.83405010516827","86.0374255058093","86.0374255058093","86.0374255058093","","",""
"18","87.5766851963141","87.5766851963141","87.5766851963141","85.64883501101762","85.64883501101762","85.64883501101762","","",""
"19","88.86468349358974","88.86468349358974","88.86468349358974","87.09888947315706","87.09888947315706","87.09888947315706","","",""
"20","88.70176657652243","88.70176657652243","88.70176657652243","86.89966446314102","86.89966446314102","86.89966446314102","","",""
"21","89.22048715444711","89.22048715444711","89.22048715444711","87.45328463040866","87.45328463040866","87.45328463040866","","",""
"22","88.29494378505609","88.29494378505609","88.29494378505609","86.49769318409456","86.49769318409456","86.49769318409456","","",""
"23","87.88632123898238","87.88632123898238","87.88632123898238","86.09869541266026","86.09869541266026","86.09869541266026","","",""
"24","88.6844732822516","88.6844732822516","88.6844732822516","86.90576797876602","86.90576797876602","86.90576797876602","","",""
"25","87.83483260717148","87.83483260717148","87.83483260717148","86.07451610076122","86.07451610076122","86.07451610076122","","",""
"26","86.94622333233173","86.94622333233173","86.94622333233173","85.18277681790866","85.18277681790866","85.18277681790866","","",""
"27","88.21113782051282","88.21113782051282","88.21113782051282","86.54268704927884","86.54268704927884","86.54268704927884","","",""
"28","87.73475060096153","87.73475060096153","87.73475060096153","86.05831830929488","86.05831830929488","86.05831830929488","","",""
"29","88.39361728766026","88.39361728766026","88.39361728766026","86.72923552684294","86.72923552684294","86.72923552684294","","",""
"30","88.1732647235577","88.1732647235577","88.1732647235577","86.54378255208333","86.54378255208333","86.54378255208333","","",""
"31","89.1319079276843","89.1319079276843","89.1319079276843","87.57926745292468","87.57926745292468","87.57926745292468","","",""
"32","88.8851067958734","88.8851067958734","88.8851067958734","87.37863393930289","87.37863393930289","87.37863393930289","","",""
"33","87.45336288060898","87.45336288060898","87.45336288060898","85.87137858072917","85.87137858072917","85.87137858072917","","",""
"34","87.78005746694711","87.78005746694711","87.78005746694711","86.27718411959134","86.27718411959134","86.27718411959134","","",""
"35","87.83905811798878","87.83905811798878","87.83905811798878","86.2697503505609","86.2697503505609","86.2697503505609","","",""
"36","88.20503430488782","88.20503430488782","88.20503430488782","86.68924967447917","86.68924967447917","86.68924967447917","","",""
"37","87.42174979967949","87.42174979967949","87.42174979967949","85.92474521734776","85.92474521734776","85.92474521734776","","",""
"38","88.39463454026442","88.39463454026442","88.39463454026442","86.92478277744391","86.92478277744391","86.92478277744391","","",""
"39","88.60731858473558","88.60731858473558","88.60731858473558","87.20593574719551","87.20593574719551","87.20593574719551","","",""
"40","86.44299629407051","86.44299629407051","86.44299629407051","84.93519318409456","84.93519318409456","84.93519318409456","","",""
"41","86.77117763421474","86.77117763421474","86.77117763421474","85.31752366286058","85.31752366286058","85.31752366286058","","",""
"42","87.61894030448718","87.61894030448718","87.61894030448718","86.19392590645032","86.19392590645032","86.19392590645032","","",""
"43","86.96547288161058","86.96547288161058","86.96547288161058","85.45062725360577","85.45062725360577","85.45062725360577","","",""
"44","","","","87.40852551582532","87.40852551582532","87.40852551582532","","",""
"45","","","","86.2331292568109","86.2331292568109","86.2331292568109","","",""
"46","","","","86.51169996995192","86.51169996995192","86.51169996995192","","",""
"47","","","","85.93491774338942","85.93491774338942","85.93491774338942","","",""
"48","","","","88.30621181390224","88.30621181390224","88.30621181390224","","",""
"49","","","","86.50661370693109","86.50661370693109","86.50661370693109","","",""
"50","","","","85.95862755408653","85.95862755408653","85.95862755408653","","",""
"51","","","","85.89219313401442","85.89219313401442","85.89219313401442","","",""
"52","","","","86.80482522035257","86.80482522035257","86.80482522035257","","",""
"53","","","","87.86981044671474","87.86981044671474","87.86981044671474","","",""
"54","","","","87.26916190905449","87.26916190905449","87.26916190905449","","",""
"55","","","","86.56725761217949","86.56725761217949","86.56725761217949","","",""
"56","","","","86.1213879707532","86.1213879707532","86.1213879707532","","",""
"57","","","","86.3868909004407","86.3868909004407","86.3868909004407","","",""
"58","","","","86.49706718249199","86.49706718249199","86.49706718249199","","",""
"59","","","","86.74997182992789","86.74997182992789","86.74997182992789","","",""
"60","","","","87.39976149338942","87.39976149338942","87.39976149338942","","",""
"61","","","","86.7790026542468","86.7790026542468","86.7790026542468","","",""
"62","","","","87.85251715244391","87.85251715244391","87.85251715244391","","",""
"63","","","","88.0626971905048","88.0626971905048","88.0626971905048","","",""
"64","","","","87.36900916466347","87.36900916466347","87.36900916466347","","",""
"65","","","","87.26031963641827","87.26031963641827","87.26031963641827","","",""
"66","","","","86.03586050180289","86.03586050180289","86.03586050180289","","",""
"67","","","","87.0906732021234","87.0906732021234","87.0906732021234","","",""
"68","","","","87.94524363982372","87.94524363982372","87.94524363982372","","",""
"69","","","","87.48497596153847","87.48497596153847","87.48497596153847","","",""
"70","","","","86.55489408052884","86.55489408052884","86.55489408052884","","",""
"71","","","","86.95170084635417","86.95170084635417","86.95170084635417","","",""
"72","","","","86.63478753505609","86.63478753505609","86.63478753505609","","",""
"73","","","","85.82388070913461","85.82388070913461","85.82388070913461","","",""
"74","","","","88.34283290765224","88.34283290765224","88.34283290765224","","",""
"75","","","","87.46588291266026","87.46588291266026","87.46588291266026","","",""
"76","","","","87.16665414663461","87.16665414663461","87.16665414663461","","",""
"77","","","","86.66092310196314","86.66092310196314","86.66092310196314","","",""
"78","","","","86.68165940504808","86.68165940504808","86.68165940504808","","",""
"79","","","","86.86014811197917","86.86014811197917","86.86014811197917","","",""
"80","","","","87.45218912760417","87.45218912760417","87.45218912760417","","",""
"81","","","","88.21724133613782","88.21724133613782","88.21724133613782","","",""
"82","","","","87.56260016025641","87.56260016025641","87.56260016025641","","",""
"83","","","","86.8186755058093","86.8186755058093","86.8186755058093","","",""
"84","","","","87.75775615985577","87.75775615985577","87.75775615985577","","",""
"85","","","","86.85060158754007","86.85060158754007","86.85060158754007","","",""
"86","","","","87.5514886318109","87.5514886318109","87.5514886318109","","",""
"87","","","","87.1967022235577","87.1967022235577","87.1967022235577","","",""
"88","","","","86.41592172475961","86.41592172475961","86.41592172475961","","",""
