"Step","dashing-sound-64 - epoch_time","dashing-sound-64 - epoch_time__MIN","dashing-sound-64 - epoch_time__MAX","easy-river-63 - epoch_time","easy-river-63 - epoch_time__MIN","easy-river-63 - epoch_time__MAX","fearless-fire-62 - epoch_time","fearless-fire-62 - epoch_time__MIN","fearless-fire-62 - epoch_time__MAX","decent-frost-61 - epoch_time","decent-frost-61 - epoch_time__MIN","decent-frost-61 - epoch_time__MAX","woven-voice-60 - epoch_time","woven-voice-60 - epoch_time__MIN","woven-voice-60 - epoch_time__MAX","fragrant-river-59 - epoch_time","fragrant-river-59 - epoch_time__MIN","fragrant-river-59 - epoch_time__MAX"
"0","184.40782475471497","184.40782475471497","184.40782475471497","176.95808601379395","176.95808601379395","176.95808601379395","179.32841444015503","179.32841444015503","179.32841444015503","182.11145281791687","182.11145281791687","182.11145281791687","182.11769032478333","182.11769032478333","182.11769032478333","184.1731731891632","184.1731731891632","184.1731731891632"
"1","175.72561049461365","175.72561049461365","175.72561049461365","174.28033590316772","174.28033590316772","174.28033590316772","175.4380168914795","175.4380168914795","175.4380168914795","176.15296483039856","176.15296483039856","176.15296483039856","175.373877286911","175.373877286911","175.373877286911","179.41175436973572","179.41175436973572","179.41175436973572"
"2","175.8388922214508","175.8388922214508","175.8388922214508","172.0490584373474","172.0490584373474","172.0490584373474","175.21136617660522","175.21136617660522","175.21136617660522","174.67564010620117","174.67564010620117","174.67564010620117","173.63040494918823","173.63040494918823","173.63040494918823","177.50568628311157","177.50568628311157","177.50568628311157"
"3","187.84880566596985","187.84880566596985","187.84880566596985","185.891010761261","185.891010761261","185.891010761261","188.09055471420288","188.09055471420288","188.09055471420288","188.92023229599","188.92023229599","188.92023229599","188.5862102508545","188.5862102508545","188.5862102508545","190.95326614379883","190.95326614379883","190.95326614379883"
"4","173.78394103050232","173.78394103050232","173.78394103050232","170.5010437965393","170.5010437965393","170.5010437965393","178.2409906387329","178.2409906387329","178.2409906387329","175.54027676582336","175.54027676582336","175.54027676582336","177.68434834480286","177.68434834480286","177.68434834480286","179.1895182132721","179.1895182132721","179.1895182132721"
"5","174.899964094162","174.899964094162","174.899964094162","171.63367533683777","171.63367533683777","171.63367533683777","174.5739049911499","174.5739049911499","174.5739049911499","174.24240565299988","174.24240565299988","174.24240565299988","180.57048845291138","180.57048845291138","180.57048845291138","178.39339470863342","178.39339470863342","178.39339470863342"
"6","173.0721616744995","173.0721616744995","173.0721616744995","172.24840426445007","172.24840426445007","172.24840426445007","173.77883887290955","173.77883887290955","173.77883887290955","175.04889678955078","175.04889678955078","175.04889678955078","176.60744953155518","176.60744953155518","176.60744953155518","178.37735843658447","178.37735843658447","178.37735843658447"
"7","176.8051199913025","176.8051199913025","176.8051199913025","174.03119897842407","174.03119897842407","174.03119897842407","178.18443727493286","178.18443727493286","178.18443727493286","177.9575719833374","177.9575719833374","177.9575719833374","177.37634181976318","177.37634181976318","177.37634181976318","178.19599986076355","178.19599986076355","178.19599986076355"
"8","174.7158215045929","174.7158215045929","174.7158215045929","171.2651343345642","171.2651343345642","171.2651343345642","175.826815366745","175.826815366745","175.826815366745","177.60129618644714","177.60129618644714","177.60129618644714","176.34572529792786","176.34572529792786","176.34572529792786","176.8071324825287","176.8071324825287","176.8071324825287"
"9","175.1432023048401","175.1432023048401","175.1432023048401","173.39356231689453","173.39356231689453","173.39356231689453","176.05310249328613","176.05310249328613","176.05310249328613","177.94221687316895","177.94221687316895","177.94221687316895","176.07059288024902","176.07059288024902","176.07059288024902","179.1367266178131","179.1367266178131","179.1367266178131"
"10","175.20285558700562","175.20285558700562","175.20285558700562","171.67480301856995","171.67480301856995","171.67480301856995","176.10255098342896","176.10255098342896","176.10255098342896","174.76264762878418","174.76264762878418","174.76264762878418","180.6585295200348","180.6585295200348","180.6585295200348","179.04577040672302","179.04577040672302","179.04577040672302"
"11","176.43975257873535","176.43975257873535","176.43975257873535","173.64650702476501","173.64650702476501","173.64650702476501","177.52538561820984","177.52538561820984","177.52538561820984","177.1232738494873","177.1232738494873","177.1232738494873","181.4330050945282","181.4330050945282","181.4330050945282","178.81717205047607","178.81717205047607","178.81717205047607"
"12","176.45486164093018","176.45486164093018","176.45486164093018","173.2333254814148","173.2333254814148","173.2333254814148","177.72818803787231","177.72818803787231","177.72818803787231","177.05748224258423","177.05748224258423","177.05748224258423","182.05249524116516","182.05249524116516","182.05249524116516","179.0627019405365","179.0627019405365","179.0627019405365"
"13","176.07740235328674","176.07740235328674","176.07740235328674","171.9170379638672","171.9170379638672","171.9170379638672","174.89812517166138","174.89812517166138","174.89812517166138","178.4206531047821","178.4206531047821","178.4206531047821","179.67117071151733","179.67117071151733","179.67117071151733","177.33652663230896","177.33652663230896","177.33652663230896"
"14","176.69734382629395","176.69734382629395","176.69734382629395","174.29150533676147","174.29150533676147","174.29150533676147","177.03628301620483","177.03628301620483","177.03628301620483","176.28191804885864","176.28191804885864","176.28191804885864","182.51416897773743","182.51416897773743","182.51416897773743","179.9296681880951","179.9296681880951","179.9296681880951"
"15","175.424702167511","175.424702167511","175.424702167511","173.36309790611267","173.36309790611267","173.36309790611267","176.61464619636536","176.61464619636536","176.61464619636536","174.45104956626892","174.45104956626892","174.45104956626892","183.7664589881897","183.7664589881897","183.7664589881897","179.3942310810089","179.3942310810089","179.3942310810089"
"16","176.17968368530273","176.17968368530273","176.17968368530273","172.7369840145111","172.7369840145111","172.7369840145111","177.10007405281067","177.10007405281067","177.10007405281067","180.0107569694519","180.0107569694519","180.0107569694519","180.44986057281494","180.44986057281494","180.44986057281494","177.06665897369385","177.06665897369385","177.06665897369385"
"17","174.27880024909973","174.27880024909973","174.27880024909973","172.59324193000793","172.59324193000793","172.59324193000793","238.92962217330933","238.92962217330933","238.92962217330933","177.4362862110138","177.4362862110138","177.4362862110138","183.71531629562378","183.71531629562378","183.71531629562378","179.53590273857117","179.53590273857117","179.53590273857117"
"18","173.87435722351074","173.87435722351074","173.87435722351074","173.30183362960815","173.30183362960815","173.30183362960815","175.9115138053894","175.9115138053894","175.9115138053894","178.70052814483643","178.70052814483643","178.70052814483643","180.82825875282288","180.82825875282288","180.82825875282288","178.14058351516724","178.14058351516724","178.14058351516724"
"19","","","","174.384197473526","174.384197473526","174.384197473526","176.25709533691406","176.25709533691406","176.25709533691406","177.49781584739685","177.49781584739685","177.49781584739685","182.3573133945465","182.3573133945465","182.3573133945465","179.58774304389954","179.58774304389954","179.58774304389954"
"20","","","","172.35729551315308","172.35729551315308","172.35729551315308","265.6450273990631","265.6450273990631","265.6450273990631","175.85465574264526","175.85465574264526","175.85465574264526","179.6420497894287","179.6420497894287","179.6420497894287","180.49152421951294","180.49152421951294","180.49152421951294"
"21","","","","173.23567295074463","173.23567295074463","173.23567295074463","179.5002121925354","179.5002121925354","179.5002121925354","176.41850590705872","176.41850590705872","176.41850590705872","180.1233103275299","180.1233103275299","180.1233103275299","179.0575716495514","179.0575716495514","179.0575716495514"
"22","","","","173.1971321105957","173.1971321105957","173.1971321105957","175.0433292388916","175.0433292388916","175.0433292388916","176.39754343032837","176.39754343032837","176.39754343032837","178.75588274002075","178.75588274002075","178.75588274002075","179.49516940116882","179.49516940116882","179.49516940116882"
"23","","","","173.57224988937378","173.57224988937378","173.57224988937378","234.0768940448761","234.0768940448761","234.0768940448761","176.64365482330322","176.64365482330322","176.64365482330322","179.46221923828125","179.46221923828125","179.46221923828125","179.80475664138794","179.80475664138794","179.80475664138794"
"24","","","","173.22797060012817","173.22797060012817","173.22797060012817","179.5013599395752","179.5013599395752","179.5013599395752","178.66392040252686","178.66392040252686","178.66392040252686","177.56248235702515","177.56248235702515","177.56248235702515","178.14882898330688","178.14882898330688","178.14882898330688"
"25","","","","172.63574719429016","172.63574719429016","172.63574719429016","178.14518070220947","178.14518070220947","178.14518070220947","177.54709839820862","177.54709839820862","177.54709839820862","174.88393306732178","174.88393306732178","174.88393306732178","179.70531916618347","179.70531916618347","179.70531916618347"
"26","","","","174.11501216888428","174.11501216888428","174.11501216888428","180.25834965705872","180.25834965705872","180.25834965705872","176.65361666679382","176.65361666679382","176.65361666679382","176.60999131202698","176.60999131202698","176.60999131202698","178.4291889667511","178.4291889667511","178.4291889667511"
"27","","","","173.77313804626465","173.77313804626465","173.77313804626465","175.91946482658386","175.91946482658386","175.91946482658386","177.61673855781555","177.61673855781555","177.61673855781555","179.423255443573","179.423255443573","179.423255443573","179.20958399772644","179.20958399772644","179.20958399772644"
"28","","","","176.19010281562805","176.19010281562805","176.19010281562805","176.30361199378967","176.30361199378967","176.30361199378967","178.8151512145996","178.8151512145996","178.8151512145996","178.5476052761078","178.5476052761078","178.5476052761078","180.62269616127014","180.62269616127014","180.62269616127014"
"29","","","","173.32315754890442","173.32315754890442","173.32315754890442","176.44554138183594","176.44554138183594","176.44554138183594","178.3191659450531","178.3191659450531","178.3191659450531","179.8965470790863","179.8965470790863","179.8965470790863","180.84717226028442","180.84717226028442","180.84717226028442"
"30","","","","173.2800145149231","173.2800145149231","173.2800145149231","173.7403244972229","173.7403244972229","173.7403244972229","174.0262908935547","174.0262908935547","174.0262908935547","176.44691586494446","176.44691586494446","176.44691586494446","181.27701950073242","181.27701950073242","181.27701950073242"
"31","","","","172.17543697357178","172.17543697357178","172.17543697357178","175.96477389335632","175.96477389335632","175.96477389335632","180.63813042640686","180.63813042640686","180.63813042640686","178.30056834220886","178.30056834220886","178.30056834220886","178.6101222038269","178.6101222038269","178.6101222038269"
"32","","","","173.72637557983398","173.72637557983398","173.72637557983398","177.61080765724182","177.61080765724182","177.61080765724182","175.8606173992157","175.8606173992157","175.8606173992157","178.4140522480011","178.4140522480011","178.4140522480011","180.9151337146759","180.9151337146759","180.9151337146759"
"33","","","","173.64502501487732","173.64502501487732","173.64502501487732","176.7612018585205","176.7612018585205","176.7612018585205","176.39620399475098","176.39620399475098","176.39620399475098","178.41904950141907","178.41904950141907","178.41904950141907","181.0505599975586","181.0505599975586","181.0505599975586"
"34","","","","173.02884888648987","173.02884888648987","173.02884888648987","176.2665674686432","176.2665674686432","176.2665674686432","176.6116931438446","176.6116931438446","176.6116931438446","178.41953992843628","178.41953992843628","178.41953992843628","179.0406413078308","179.0406413078308","179.0406413078308"
"35","","","","172.27774357795715","172.27774357795715","172.27774357795715","174.9674355983734","174.9674355983734","174.9674355983734","175.7239851951599","175.7239851951599","175.7239851951599","176.29655623435974","176.29655623435974","176.29655623435974","179.51662874221802","179.51662874221802","179.51662874221802"
"36","","","","172.4368932247162","172.4368932247162","172.4368932247162","176.27885389328003","176.27885389328003","176.27885389328003","176.18109369277954","176.18109369277954","176.18109369277954","176.55675053596497","176.55675053596497","176.55675053596497","177.837956905365","177.837956905365","177.837956905365"
"37","","","","174.04032564163208","174.04032564163208","174.04032564163208","199.94709610939026","199.94709610939026","199.94709610939026","176.60821509361267","176.60821509361267","176.60821509361267","178.65636014938354","178.65636014938354","178.65636014938354","180.6160123348236","180.6160123348236","180.6160123348236"
"38","","","","173.21912217140198","173.21912217140198","173.21912217140198","180.08214235305786","180.08214235305786","180.08214235305786","176.0438849925995","176.0438849925995","176.0438849925995","177.5168535709381","177.5168535709381","177.5168535709381","179.7581970691681","179.7581970691681","179.7581970691681"
"39","","","","172.52065682411194","172.52065682411194","172.52065682411194","176.23711800575256","176.23711800575256","176.23711800575256","177.92236971855164","177.92236971855164","177.92236971855164","177.33157229423523","177.33157229423523","177.33157229423523","179.0677330493927","179.0677330493927","179.0677330493927"
"40","","","","173.0341980457306","173.0341980457306","173.0341980457306","205.44622945785522","205.44622945785522","205.44622945785522","175.74439787864685","175.74439787864685","175.74439787864685","177.11359548568726","177.11359548568726","177.11359548568726","180.03714418411255","180.03714418411255","180.03714418411255"
