"Step","dashing-sound-64 - loss","dashing-sound-64 - loss__MIN","dashing-sound-64 - loss__MAX","easy-river-63 - loss","easy-river-63 - loss__MIN","easy-river-63 - loss__MAX","fearless-fire-62 - loss","fearless-fire-62 - loss__MIN","fearless-fire-62 - loss__MAX","decent-frost-61 - loss","decent-frost-61 - loss__MIN","decent-frost-61 - loss__MAX","woven-voice-60 - loss","woven-voice-60 - loss__MIN","woven-voice-60 - loss__MAX","fragrant-river-59 - loss","fragrant-river-59 - loss__MIN","fragrant-river-59 - loss__MAX"
"0","1.593895823145524","1.593895823145524","1.593895823145524","1.6730551387255008","1.6730551387255008","1.6730551387255008","1.8326606047459137","1.8326606047459137","1.8326606047459137","2.064779978914139","2.064779978914139","2.064779978914139","2.5772025757111034","2.5772025757111034","2.5772025757111034","6.873480238975623","6.873480238975623","6.873480238975623"
"1","1.5974766726677234","1.5974766726677234","1.5974766726677234","1.6841757652851252","1.6841757652851252","1.6841757652851252","1.83585881231687","1.83585881231687","1.83585881231687","2.073254154660763","2.073254154660763","2.073254154660763","2.5732479706788673","2.5732479706788673","2.5732479706788673","6.6196847649721","6.6196847649721","6.6196847649721"
"2","1.615232119957606","1.615232119957606","1.615232119957606","1.6947759707004597","1.6947759707004597","1.6947759707004597","1.873069594685848","1.873069594685848","1.873069594685848","2.1049073304121313","2.1049073304121313","2.1049073304121313","2.608766270753665","2.608766270753665","2.608766270753665","6.431353087608631","6.431353087608631","6.431353087608631"
"3","1.6518906565048757","1.6518906565048757","1.6518906565048757","1.7329615835960095","1.7329615835960095","1.7329615835960095","1.9112804738374858","1.9112804738374858","1.9112804738374858","2.161539071645492","2.161539071645492","2.161539071645492","2.6645745153610525","2.6645745153610525","2.6645745153610525","6.289910952250163","6.289910952250163","6.289910952250163"
"4","1.6059709034669094","1.6059709034669094","1.6059709034669094","1.6807849193230653","1.6807849193230653","1.6807849193230653","1.847390814469411","1.847390814469411","1.847390814469411","2.0796374648045273","2.0796374648045273","2.0796374648045273","2.5552458342833395","2.5552458342833395","2.5552458342833395","6.12430114318163","6.12430114318163","6.12430114318163"
"5","1.6246026215644984","1.6246026215644984","1.6246026215644984","1.7035311536911206","1.7035311536911206","1.7035311536911206","1.8788312004926877","1.8788312004926877","1.8788312004926877","2.1043564765117106","2.1043564765117106","2.1043564765117106","2.5828718783763738","2.5828718783763738","2.5828718783763738","6.001236846813788","6.001236846813788","6.001236846813788"
"6","1.6171194670292048","1.6171194670292048","1.6171194670292048","1.693232542811296","1.693232542811296","1.693232542811296","1.844363496471674","1.844363496471674","1.844363496471674","2.071992276570736","2.071992276570736","2.071992276570736","2.5159127765741105","2.5159127765741105","2.5159127765741105","5.854095130394667","5.854095130394667","5.854095130394667"
"7","1.571295440579072","1.571295440579072","1.571295440579072","1.6437041216935866","1.6437041216935866","1.6437041216935866","1.7888092834215898","1.7888092834215898","1.7888092834215898","2.003108316889176","2.003108316889176","2.003108316889176","2.432304796882165","2.432304796882165","2.432304796882165","5.710840804454608","5.710840804454608","5.710840804454608"
"8","1.592989899791204","1.592989899791204","1.592989899791204","1.658548388725672","1.658548388725672","1.658548388725672","1.8191400984158883","1.8191400984158883","1.8191400984158883","2.0306894160234013","2.0306894160234013","2.0306894160234013","2.460389495660097","2.460389495660097","2.460389495660097","5.6138009367845","5.6138009367845","5.6138009367845"
"9","1.6063511402179034","1.6063511402179034","1.6063511402179034","1.6705680118921475","1.6705680118921475","1.6705680118921475","1.834301687968083","1.834301687968083","1.834301687968083","2.0454010443809705","2.0454010443809705","2.0454010443809705","2.4656917857818113","2.4656917857818113","2.4656917857818113","5.502011724007436","5.502011724007436","5.502011724007436"
