"Step","dashing-sound-64 - train-top5-acc","dashing-sound-64 - train-top5-acc__MIN","dashing-sound-64 - train-top5-acc__MAX","easy-river-63 - train-top5-acc","easy-river-63 - train-top5-acc__MIN","easy-river-63 - train-top5-acc__MAX","fearless-fire-62 - train-top5-acc","fearless-fire-62 - train-top5-acc__MIN","fearless-fire-62 - train-top5-acc__MAX","decent-frost-61 - train-top5-acc","decent-frost-61 - train-top5-acc__MIN","decent-frost-61 - train-top5-acc__MAX","woven-voice-60 - train-top5-acc","woven-voice-60 - train-top5-acc__MIN","woven-voice-60 - train-top5-acc__MAX","fragrant-river-59 - train-top5-acc","fragrant-river-59 - train-top5-acc__MIN","fragrant-river-59 - train-top5-acc__MAX"
"0","97.9999248798077","97.9999248798077","97.9999248798077","97.34817896133814","97.34817896133814","97.34817896133814","95.85751264523238","95.85751264523238","95.85751264523238","93.43895545372597","93.43895545372597","93.43895545372597","87.92474208733974","87.92474208733974","87.92474208733974","1.7168876452323718","1.7168876452323718","1.7168876452323718"
"1","97.98599634415064","97.98599634415064","97.98599634415064","97.26898975861378","97.26898975861378","97.26898975861378","95.85023537660257","95.85023537660257","95.85023537660257","93.35295848357372","93.35295848357372","93.35295848357372","88.07889498197116","88.07889498197116","88.07889498197116","4.965522961738782","4.965522961738782","4.965522961738782"
"2","97.81861916566507","97.81861916566507","97.81861916566507","97.14097243088942","97.14097243088942","97.14097243088942","95.33073229667468","95.33073229667468","95.33073229667468","92.83932416866988","92.83932416866988","92.83932416866988","87.22988030849359","87.22988030849359","87.22988030849359","8.096782977764423","8.096782977764423","8.096782977764423"
"3","97.83106094751602","97.83106094751602","97.83106094751602","97.14120718149039","97.14120718149039","97.14120718149039","95.41446001101762","95.41446001101762","95.41446001101762","92.76795998597757","92.76795998597757","92.76795998597757","87.37746018629808","87.37746018629808","87.37746018629808","10.869813576722757","10.869813576722757","10.869813576722757"
"4","97.8802020733173","97.8802020733173","97.8802020733173","97.24473219651442","97.24473219651442","97.24473219651442","95.61188526642628","95.61188526642628","95.61188526642628","93.1064703525641","93.1064703525641","93.1064703525641","87.9131610576923","87.9131610576923","87.9131610576923","13.767105493790064","13.767105493790064","13.767105493790064"
"5","97.82871344150641","97.82871344150641","97.82871344150641","97.14058117988782","97.14058117988782","97.14058117988782","95.40303548177083","95.40303548177083","95.40303548177083","93.00795335036058","93.00795335036058","93.00795335036058","87.70055526342148","87.70055526342148","87.70055526342148","16.445062099358974","16.445062099358974","16.445062099358974"
"6","98.02535619491186","98.02535619491186","98.02535619491186","97.42071689703526","97.42071689703526","97.42071689703526","96.04124411558493","96.04124411558493","96.04124411558493","93.71541341145833","93.71541341145833","93.71541341145833","89.26555926983173","89.26555926983173","89.26555926983173","19.755123823116985","19.755123823116985","19.755123823116985"
"7","98.08036608573718","98.08036608573718","98.08036608573718","97.45858999399039","97.45858999399039","97.45858999399039","96.0949237530048","96.0949237530048","96.0949237530048","93.86956630608974","93.86956630608974","93.86956630608974","89.43497095352564","89.43497095352564","89.43497095352564","22.416413136017628","22.416413136017628","22.416413136017628"
"8","98.03067720853366","98.03067720853366","98.03067720853366","97.49881059695512","97.49881059695512","97.49881059695512","95.98670372596153","95.98670372596153","95.98670372596153","93.86878380408653","93.86878380408653","93.86878380408653","89.48716383713942","89.48716383713942","89.48716383713942","24.965804662459934","24.965804662459934","24.965804662459934"
"9","97.97292856069711","97.97292856069711","97.97292856069711","97.44786971654648","97.44786971654648","97.44786971654648","95.90344551282051","95.90344551282051","95.90344551282051","93.73200245392628","93.73200245392628","93.73200245392628","89.43434495192308","89.43434495192308","89.43434495192308","27.64141376201923","27.64141376201923","27.64141376201923"
